x,Weights,y,Weights,error_LT
9.706742608900009373e+01,1.009652393999989961e+00,-8.116684818001540513e-01,1.009652393999989961e+00,-8.116684818001540513e-01
9.908673087699999371e+01,9.991003390000160467e-01,-8.296054967999000329e-01,9.991003390000160467e-01,-8.296054967999000329e-01
1.010849315549999972e+02,9.995713599999760390e-01,-8.287680518002390473e-01,9.995713599999760390e-01,-8.287680518002390473e-01
1.030840742750000061e+02,1.007456930000020012e+00,-8.268858237998419902e-01,1.007456930000020012e+00,-8.268858237998419902e-01
1.050989881349999990e+02,9.984415109999960070e-01,-8.380869548000760005e-01,9.984415109999960070e-01,-8.380869548000760005e-01
1.070958711570000048e+02,1.000168194999990101e+00,-8.492663078000649568e-01,1.000168194999990101e+00,-8.492663078000649568e-01
1.090962075470000059e+02,9.925078420000019719e-01,-8.332117857999610244e-01,9.925078420000019719e-01,-8.332117857999610244e-01
1.110812232309999956e+02,1.001591612000009901e+00,-8.119726488001219877e-01,1.001591612000009901e+00,-8.119726488001219877e-01
1.130844064550000070e+02,1.005614050999990017e+00,-8.107020327998949449e-01,1.005614050999990017e+00,-8.107020327998949449e-01
1.150956345569999968e+02,1.001364396999999906e+00,-8.099879047999249959e-01,1.001364396999999906e+00,-8.099879047999249959e-01
1.170983633510000033e+02,9.962605290000039471e-01,-8.007550408000270181e-01,9.962605290000039471e-01,-8.007550408000270181e-01
1.190908844089999974e+02,1.001539053999989992e+00,-7.881621988001370482e-01,1.001539053999989992e+00,-7.881621988001370482e-01
1.210939625169999942e+02,1.002478078000009987e+00,-7.850359667999670110e-01,1.002478078000009987e+00,-7.850359667999670110e-01
1.230989186730000000e+02,1.000912165999980008e+00,-8.148100148001730103e-01,1.000912165999980008e+00,-8.148100148001730103e-01
1.251007430049999982e+02,1.005420218999989901e+00,-8.248083168000449605e-01,1.005420218999989901e+00,-8.248083168000449605e-01
1.271115834430000007e+02,1.003463434000019916e+00,-8.172855408000150312e-01,1.003463434000019916e+00,-8.172855408000150312e-01
1.291185103109999943e+02,1.001551072999989911e+00,-8.289426638001490266e-01,1.001551072999989911e+00,-8.289426638001490266e-01
1.311216124569999977e+02,9.991252860000090497e-01,-8.437876068001060048e-01,9.991252860000090497e-01,-8.437876068001060048e-01
1.331198630289999869e+02,9.900397399999859571e-01,-8.438356338001540280e-01,9.900397399999859571e-01,-8.438356338001540280e-01
1.350999425089999875e+02,9.917069630000130420e-01,-8.238586918000120329e-01,9.917069630000130420e-01,-8.238586918000120329e-01
1.370833564350000131e+02,9.977544270000040516e-01,-8.096586248001359509e-01,9.977544270000040516e-01,-8.096586248001359509e-01
1.390788652889999923e+02,9.934039060000120491e-01,-7.967783618002499679e-01,9.934039060000120491e-01,-7.967783618002499679e-01
1.410656731009999874e+02,9.977283699999900390e-01,-7.893923458000240423e-01,9.977283699999900390e-01,-7.893923458000240423e-01
1.430611298409999961e+02,1.007584742000009914e+00,-7.755913307999550144e-01,1.007584742000009914e+00,-7.755913307999550144e-01
1.450762993250000079e+02,9.982853109999889618e-01,-7.737284548001639450e-01,9.982853109999889618e-01,-7.737284548001639450e-01
1.470728699469999867e+02,9.992156670000009733e-01,-7.969769747999749798e-01,9.992156670000009733e-01,-7.969769747999749798e-01
1.490713012809999896e+02,1.002012295000010100e+00,-8.001753378001129624e-01,1.002012295000010100e+00,-8.001753378001129624e-01
1.510753258709999898e+02,9.999151239999829466e-01,-7.960748828002119915e-01,9.999151239999829466e-01,-7.960748828002119915e-01
1.530751561190000132e+02,9.995860429999939845e-01,-8.062295188000230262e-01,9.995860429999939845e-01,-8.062295188000230262e-01
1.550743282050000005e+02,1.006872912000009945e+00,-8.224031378001650516e-01,1.006872912000009945e+00,-8.224031378001650516e-01
1.570880740290000119e+02,9.933808459999939888e-01,-8.306873318002200302e-01,9.933808459999939888e-01,-8.306873318002200302e-01
1.590748357209999995e+02,9.960015750000079660e-01,-8.224758198002179999e-01,9.960015750000079660e-01,-8.224758198002179999e-01
1.610668388709999874e+02,1.002204684000010060e+00,-8.359051518001480163e-01,1.002204684000010060e+00,-8.359051518001480163e-01
1.630712482389999991e+02,9.866308169999910005e-01,-8.385674807998949598e-01,9.866308169999910005e-01,-8.385674807998949598e-01
1.650445098730000097e+02,9.970284689999999728e-01,-8.219811077998999682e-01,9.970284689999999728e-01,-8.219811077998999682e-01
1.670385668110000097e+02,9.988116859999820463e-01,-8.012097078001829686e-01,9.988116859999820463e-01,-8.012097078001829686e-01
1.690361901830000022e+02,1.005214822000010111e+00,-7.902721587997799668e-01,1.005214822000010111e+00,-7.902721587997799668e-01
1.710466198270000007e+02,1.004932828999999916e+00,-8.106589248000090064e-01,1.004932828999999916e+00,-8.106589248000090064e-01
1.730564854849999961e+02,1.008399416000000048e+00,-8.211572668000139963e-01,1.008399416000000048e+00,-8.211572668000139963e-01
1.750732843170000024e+02,9.985292280000099829e-01,-8.302829437998300310e-01,9.985292280000099829e-01,-8.302829437998300310e-01
1.770703427729999930e+02,1.005017993000000054e+00,-8.445279608000080263e-01,1.005017993000000054e+00,-8.445279608000080263e-01
1.790803787590000127e+02,9.957065640000170026e-01,-8.580108228001680493e-01,9.957065640000170026e-01,-8.580108228001680493e-01
1.810717918869999892e+02,9.990695089999950262e-01,-8.435488037998200017e-01,9.990695089999950262e-01,-8.435488037998200017e-01
1.830699309050000068e+02,9.990117340000069790e-01,-8.416389027999570116e-01,9.990117340000069790e-01,-8.416389027999570116e-01
1.850679543729999921e+02,1.005885578999970109e+00,-8.377075698000450155e-01,1.005885578999970109e+00,-8.377075698000450155e-01
1.870797255310000082e+02,9.985683240000039484e-01,-8.289600827998240273e-01,9.985683240000039484e-01,-8.289600827998240273e-01
1.890768621789999884e+02,9.967591609999999491e-01,-8.270436767998600169e-01,9.967591609999999491e-01,-8.270436767998600169e-01
1.910703805009999883e+02,9.983992170000279831e-01,-8.143761957999799961e-01,9.983992170000279831e-01,-8.143761957999799961e-01
1.930671789349999870e+02,9.983154959999750444e-01,-8.065295578002750210e-01,9.983154959999750444e-01,-8.065295578002750210e-01
1.950638099269999941e+02,1.012777548000020067e+00,-7.957442637999180279e-01,1.012777548000020067e+00,-7.957442637999180279e-01
1.970893650229999992e+02,1.003850734000000022e+00,-8.003458378002510365e-01,1.003850734000000022e+00,-8.003458378002510365e-01
1.990970664909999925e+02,1.003308122000009961e+00,-8.080195218000200130e-01,1.003308122000009961e+00,-8.080195218000200130e-01
2.011036827350000067e+02,9.958632980000029500e-01,-8.317740357999240386e-01,9.958632980000029500e-01,-8.317740357999240386e-01
2.030954093310000133e+02,1.006587588999990013e+00,-8.403455918002580294e-01,1.006587588999990013e+00,-8.403455918002580294e-01
2.051085845089999964e+02,9.998115030000039871e-01,-8.386355218001430023e-01,9.998115030000039871e-01,-8.386355218001430023e-01
2.071082075150000037e+02,9.977565359999970296e-01,-8.276298388001349648e-01,9.977565359999970296e-01,-8.276298388001349648e-01
2.091037205869999980e+02,1.006457355999980097e+00,-8.148166077997980317e-01,1.006457355999980097e+00,-8.148166077997980317e-01
