x,y_LE,y_RE
7.410982410982409896e-02,1.250000000000000000e+02,1.279600000000000080e+02
7.486057486057486055e-02,1.250000000000000000e+02,1.279729999999999990e+02
7.566495066495067257e-02,1.250000000000000000e+02,1.279860000000000042e+02
7.630845130845130553e-02,1.250000000000000000e+02,1.279869999999999948e+02
7.716645216645216798e-02,1.250000000000000000e+02,1.279899999999999949e+02
7.786357786357786526e-02,1.250000000000000000e+02,1.279389999999999930e+02
7.856070356070356253e-02,1.250000000000000000e+02,1.279620000000000033e+02
7.936507936507936067e-02,1.250000000000000000e+02,1.279879999999999995e+02
8.000858000858000751e-02,1.250000000000000000e+02,1.280130000000000052e+02
8.070570570570570479e-02,1.250000000000000000e+02,1.280229999999999961e+02
8.140283140283140206e-02,1.250000000000000000e+02,1.279989999999999952e+02
8.231445731445731495e-02,1.250000000000000000e+02,1.279620000000000033e+02
8.301158301158301223e-02,1.250000000000000000e+02,1.279869999999999948e+02
8.370870870870870950e-02,1.250000000000000000e+02,1.280000000000000000e+02
8.440583440583440678e-02,1.250000000000000000e+02,1.280149999999999864e+02
8.510296010296010405e-02,1.250000000000000000e+02,1.280140000000000100e+02
8.612183612183613168e-02,1.250000000000000000e+02,1.279869999999999948e+02
8.681896181896181508e-02,1.250000000000000000e+02,1.279879999999999995e+02
8.746246246246246192e-02,1.250000000000000000e+02,1.279749999999999943e+02
8.789146289146289315e-02,1.250000000000000000e+02,1.279740000000000038e+02
8.837408837408837481e-02,1.250000000000000000e+02,1.279740000000000038e+02
8.907121407121407208e-02,1.250000000000000000e+02,1.279860000000000042e+02
8.950021450021450331e-02,1.250000000000000000e+02,1.280000000000000000e+02
9.025096525096525102e-02,1.250000000000000000e+02,1.280120000000000005e+02
9.067996567996568225e-02,1.250000000000000000e+02,1.279629999999999939e+02
9.143071643071642995e-02,1.250000000000000000e+02,1.279389999999999930e+02
9.185971685971686118e-02,1.250000000000000000e+02,1.279389999999999930e+02
9.234234234234234284e-02,1.250000000000000000e+02,1.279129999999999967e+02
9.282496782496782450e-02,1.250000000000000000e+02,1.279240000000000066e+02
9.325396825396825573e-02,1.250000000000000000e+02,1.279500000000000028e+02
9.373659373659373739e-02,1.250000000000000000e+02,1.279729999999999990e+02
9.416559416559416862e-02,1.250000000000000000e+02,1.280130000000000052e+02
9.464821964821965028e-02,1.250000000000000000e+02,1.279879999999999995e+02
9.513084513084513194e-02,1.250000000000000000e+02,1.279749999999999943e+02
9.561347061347061360e-02,1.250000000000000000e+02,1.279740000000000038e+02
9.609609609609609526e-02,1.250000000000000000e+02,1.279740000000000038e+02
9.652509652509652649e-02,1.250000000000000000e+02,1.279719999999999942e+02
9.722222222222222376e-02,1.250000000000000000e+02,1.279719999999999942e+02
9.770484770484770543e-02,1.250000000000000000e+02,1.279740000000000038e+02
9.840197340197340270e-02,1.250000000000000000e+02,1.280109999999999957e+02
9.888459888459888436e-02,1.250000000000000000e+02,1.280610000000000070e+02
9.931359931359931559e-02,1.250000000000000000e+02,1.280620000000000118e+02
9.979622479622479725e-02,1.250000000000000000e+02,1.280749999999999886e+02
1.002252252252252285e-01,1.250000000000000000e+02,1.280490000000000066e+02
1.009759759759759762e-01,1.250000000000000000e+02,1.280109999999999957e+02
1.014049764049764074e-01,1.250000000000000000e+02,1.279240000000000066e+02
1.018876018876018891e-01,1.250000000000000000e+02,1.278880000000000052e+02
1.023702273702273707e-01,1.250000000000000000e+02,1.278880000000000052e+02
1.030673530673530680e-01,1.250000000000000000e+02,1.279110000000000014e+02
1.035499785499785497e-01,1.250000000000000000e+02,1.279120000000000061e+02
1.039789789789789809e-01,1.250000000000000000e+02,1.279129999999999967e+02
1.044616044616044626e-01,1.250000000000000000e+02,1.279240000000000066e+02
1.048906048906048938e-01,1.250000000000000000e+02,1.279269999999999925e+02
1.055877305877305911e-01,1.250000000000000000e+02,1.279140000000000015e+02
1.060703560703560727e-01,1.250000000000000000e+02,1.278760000000000048e+02
1.065529815529815544e-01,1.250000000000000000e+02,1.279140000000000015e+02
1.072501072501072517e-01,1.250000000000000000e+02,1.279030000000000058e+02
1.077327327327327333e-01,1.250000000000000000e+02,1.279410000000000025e+02
1.082153582153582011e-01,1.250000000000000000e+02,1.279530000000000030e+02
1.086443586443586323e-01,1.250000000000000000e+02,1.279440000000000026e+02
1.091269841269841417e-01,1.250000000000000000e+02,1.279540000000000077e+02
1.096096096096096095e-01,1.250000000000000000e+02,1.279530000000000030e+02
1.100386100386100408e-01,1.250000000000000000e+02,1.279519999999999982e+02
1.105212355212355224e-01,1.250000000000000000e+02,1.279650000000000034e+02
1.110038610038609902e-01,1.250000000000000000e+02,1.279410000000000025e+02
1.114328614328614214e-01,1.250000000000000000e+02,1.279410000000000025e+02
1.119154869154869308e-01,1.250000000000000000e+02,1.279519999999999982e+02
1.123981123981123986e-01,1.250000000000000000e+02,1.279420000000000073e+02
1.128807378807378803e-01,1.250000000000000000e+02,1.279540000000000077e+02
1.133097383097383115e-01,1.250000000000000000e+02,1.279680000000000035e+02
1.137923637923637932e-01,1.250000000000000000e+02,1.279939999999999998e+02
1.142213642213642105e-01,1.250000000000000000e+02,1.279939999999999998e+02
1.147576147576147704e-01,1.250000000000000000e+02,1.279950000000000045e+02
1.151866151866152016e-01,1.250000000000000000e+02,1.279800000000000040e+02
1.156692406692406694e-01,1.250000000000000000e+02,1.279560000000000031e+02
1.163663663663663667e-01,1.250000000000000000e+02,1.279689999999999941e+02
1.167953667953667979e-01,1.250000000000000000e+02,1.279540000000000077e+02
1.172779922779922657e-01,1.250000000000000000e+02,1.279680000000000035e+02
1.179751179751179907e-01,1.250000000000000000e+02,1.279659999999999940e+02
1.184577434577434585e-01,1.250000000000000000e+02,1.279920000000000044e+02
1.192084942084942062e-01,1.250000000000000000e+02,1.280049999999999955e+02
1.196374946374946374e-01,1.250000000000000000e+02,1.279950000000000045e+02
1.203346203346203486e-01,1.250000000000000000e+02,1.279950000000000045e+02
1.207636207636207520e-01,1.250000000000000000e+02,1.279959999999999951e+02
1.214607464607464632e-01,1.250000000000000000e+02,1.279689999999999941e+02
1.219433719433719449e-01,1.250000000000000000e+02,1.279440000000000026e+02
1.224259974259974265e-01,1.250000000000000000e+02,1.279569999999999936e+02
1.228549978549978577e-01,1.250000000000000000e+02,1.279809999999999945e+02
1.236057486057486193e-01,1.250000000000000000e+02,1.279689999999999941e+02
1.240347490347490506e-01,1.250000000000000000e+02,1.279569999999999936e+02
1.245173745173745183e-01,1.250000000000000000e+02,1.279800000000000040e+02
1.250000000000000000e-01,1.250000000000000000e+02,1.279680000000000035e+02
1.256971256971256834e-01,1.250000000000000000e+02,1.279429999999999978e+02
1.261797511797511928e-01,1.250000000000000000e+02,1.279180000000000064e+02
1.268768768768768762e-01,1.250000000000000000e+02,1.279180000000000064e+02
1.273058773058773074e-01,1.250000000000000000e+02,1.279440000000000026e+02
1.280030030030030186e-01,1.250000000000000000e+02,1.279429999999999978e+02
1.284856284856284725e-01,1.250000000000000000e+02,1.279809999999999945e+02
1.291827541827541836e-01,1.250000000000000000e+02,1.279939999999999998e+02
1.296653796653796653e-01,1.250000000000000000e+02,1.279939999999999998e+02
1.300943800943800965e-01,1.250000000000000000e+02,1.279699999999999989e+02
1.307915057915058077e-01,1.250000000000000000e+02,1.279440000000000026e+02
1.312741312741312616e-01,1.250000000000000000e+02,1.279440000000000026e+02
1.317567567567567433e-01,1.250000000000000000e+02,1.279200000000000017e+02
1.322393822393822527e-01,1.250000000000000000e+02,1.279129999999999967e+02
1.326683826683826839e-01,1.250000000000000000e+02,1.279020000000000010e+02
1.330973830973831151e-01,1.250000000000000000e+02,1.279140000000000015e+02
1.336336336336336472e-01,1.250000000000000000e+02,1.279230000000000018e+02
1.340626340626340784e-01,1.250000000000000000e+02,1.279269999999999925e+02
1.347597597597597618e-01,1.250000000000000000e+02,1.279369999999999976e+02
1.352423852423852435e-01,1.250000000000000000e+02,1.279560000000000031e+02
1.357250107250107252e-01,1.250000000000000000e+02,1.279470000000000027e+02
1.362076362076362068e-01,1.250000000000000000e+02,1.279339999999999975e+02
1.366366366366366381e-01,1.250000000000000000e+02,1.279350000000000023e+02
1.373337623337623215e-01,1.250000000000000000e+02,1.279309999999999974e+02
1.377627627627627527e-01,1.250000000000000000e+02,1.279309999999999974e+02
1.382990132990133125e-01,1.250000000000000000e+02,1.279290000000000020e+02
1.389425139425139455e-01,1.250000000000000000e+02,1.279300000000000068e+02
1.394251394251394272e-01,1.250000000000000000e+02,1.279420000000000073e+02
1.399077649077649088e-01,1.250000000000000000e+02,1.279290000000000020e+02
1.406048906048905922e-01,1.250000000000000000e+02,1.278659999999999997e+02
1.410875160875160739e-01,1.250000000000000000e+02,1.279050000000000011e+02
1.415165165165165051e-01,1.250000000000000000e+02,1.278919999999999959e+02
1.419991419991420145e-01,1.250000000000000000e+02,1.279309999999999974e+02
1.424817674817674962e-01,1.250000000000000000e+02,1.279320000000000022e+02
1.429107679107679274e-01,1.250000000000000000e+02,1.279320000000000022e+02
1.433933933933933813e-01,1.250000000000000000e+02,1.279449999999999932e+02
1.440905190905190925e-01,1.250000000000000000e+02,1.279590000000000032e+02
1.445731445731445741e-01,1.250000000000000000e+02,1.279230000000000018e+02
1.450557700557700558e-01,1.250000000000000000e+02,1.279459999999999980e+02
1.454847704847704870e-01,1.250000000000000000e+02,1.279099999999999966e+02
1.461818961818961704e-01,1.250000000000000000e+02,1.278739999999999952e+02
1.466645216645216521e-01,1.250000000000000000e+02,1.278739999999999952e+02
1.471471471471471615e-01,1.250000000000000000e+02,1.278659999999999997e+02
1.475761475761475650e-01,1.250000000000000000e+02,1.278739999999999952e+02
1.482732732732732761e-01,1.250000000000000000e+02,1.279180000000000064e+02
1.488095238095238082e-01,1.250000000000000000e+02,1.279830000000000041e+02
1.492385242385242394e-01,1.250000000000000000e+02,1.280060000000000002e+02
1.499356499356499228e-01,1.250000000000000000e+02,1.280060000000000002e+02
1.503646503646503541e-01,1.250000000000000000e+02,1.280049999999999955e+02
1.510617760617760652e-01,1.250000000000000000e+02,1.279939999999999998e+02
1.518125268125267990e-01,1.250000000000000000e+02,1.279420000000000073e+02
1.522415272415272303e-01,1.250000000000000000e+02,1.279170000000000016e+02
1.529386529386529414e-01,1.250000000000000000e+02,1.278799999999999955e+02
1.534212784212784231e-01,1.250000000000000000e+02,1.278439999999999941e+02
1.538502788502788543e-01,1.250000000000000000e+02,1.278419999999999987e+02
1.545474045474045655e-01,1.250000000000000000e+02,1.278310000000000031e+02
1.550300300300300194e-01,1.250000000000000000e+02,1.278460000000000036e+02
1.555126555126555010e-01,1.250000000000000000e+02,1.278580000000000041e+02
1.562097812097812122e-01,1.250000000000000000e+02,1.278689999999999998e+02
1.566924066924066938e-01,1.250000000000000000e+02,1.278559999999999945e+02
1.571750321750321755e-01,1.250000000000000000e+02,1.278460000000000036e+02
1.576576576576576572e-01,1.250000000000000000e+02,1.278719999999999999e+02
1.580866580866580884e-01,1.250000000000000000e+02,1.278960000000000008e+02
1.585692835692835700e-01,1.250000000000000000e+02,1.278829999999999956e+02
