width_LLS_B,Weights
6.241999999999999993e+00,1.004771219536340077e+00
6.241999999999999993e+00,1.005273912867719943e+00
6.304999999999999716e+00,1.005129448773320000e+00
6.306000000000000050e+00,9.985734544149440506e-01
6.293000000000000149e+00,1.002430321760710008e+00
6.280999999999999694e+00,1.008258021305799890e+00
6.267999999999999794e+00,1.002762140306109995e+00
6.267999999999999794e+00,9.968023190968640090e-01
6.267999999999999794e+00,9.921728381653670548e-01
6.216999999999999638e+00,9.957449962956630429e-01
6.190999999999999837e+00,1.007314880550999936e+00
6.230000000000000426e+00,1.001309871150789954e+00
6.240000000000000213e+00,9.965306085339310505e-01
6.304999999999999716e+00,9.953368001067729454e-01
6.291999999999999815e+00,9.934105301182879488e-01
6.253999999999999559e+00,1.005771271427450042e+00
6.241999999999999993e+00,1.003161651599999926e+00
6.177999999999999936e+00,9.951469792647620327e-01
6.216000000000000192e+00,9.925534733889670447e-01
6.227999999999999758e+00,9.975457788539170423e-01
6.240000000000000213e+00,1.001491257720859895e+00
6.201999999999999957e+00,9.946586655649940489e-01
6.203999999999999737e+00,9.921590412787699709e-01
6.227000000000000313e+00,9.992968100165280365e-01
6.227999999999999758e+00,9.984541367386869926e-01
6.213000000000000078e+00,9.982991553115899697e-01
6.190000000000000391e+00,1.001137440109820087e+00
6.251999999999999780e+00,9.990231189896410235e-01
6.262999999999999901e+00,9.992521275386929691e-01
6.275000000000000355e+00,9.994562577759820154e-01
6.248999999999999666e+00,9.922198791712869559e-01
6.235999999999999766e+00,9.943750959383399479e-01
6.288000000000000256e+00,1.000110541875800063e+00
6.272999999999999687e+00,1.006427630145739993e+00
6.222999999999999865e+00,1.004028444663999986e+00
6.261999999999999567e+00,9.989564036640790068e-01
6.246000000000000441e+00,9.965430700118169671e-01
6.272000000000000242e+00,1.005440337234519976e+00
6.259000000000000341e+00,9.998181996764450297e-01
6.307000000000000384e+00,1.000049481076620062e+00
6.283999999999999808e+00,9.975170612875740028e-01
6.230999999999999872e+00,9.953515752909279923e-01
6.192999999999999616e+00,1.005619886058539914e+00
6.216999999999999638e+00,1.003345744686920060e+00
6.203000000000000291e+00,9.979722776786660310e-01
6.227999999999999758e+00,1.002906975889590102e+00
6.238999999999999879e+00,1.005104010361530076e+00
6.290000000000000036e+00,1.002427942077700029e+00
6.314000000000000057e+00,1.003372118616080000e+00
6.299999999999999822e+00,1.000007285876880037e+00
6.298000000000000043e+00,9.956148446916770478e-01
6.298000000000000043e+00,1.001032862531070045e+00
6.283000000000000362e+00,1.000761302171480072e+00
6.293999999999999595e+00,9.943196011103080378e-01
6.293000000000000149e+00,1.000279692966199896e+00
6.342999999999999972e+00,1.004587742721660071e+00
6.341000000000000192e+00,1.002374786857590072e+00
6.355999999999999872e+00,1.001388653640139959e+00
6.376999999999999780e+00,9.964609588259389916e-01
6.376000000000000334e+00,9.950199443381769759e-01
6.386999999999999567e+00,9.969623069353770184e-01
6.349000000000000199e+00,9.987974666862190487e-01
6.309000000000000163e+00,9.975378737807659713e-01
6.294999999999999929e+00,1.002172753895210100e+00
6.245000000000000107e+00,1.003167171426700088e+00
6.282000000000000028e+00,9.993557888201629602e-01
6.241999999999999993e+00,9.940870278460800513e-01
6.241999999999999993e+00,9.950473141763610530e-01
6.253000000000000114e+00,9.998003869552010148e-01
6.301999999999999602e+00,1.005668844983810040e+00
6.314000000000000057e+00,9.979227822156340189e-01
6.301000000000000156e+00,9.964282260968899685e-01
6.251000000000000334e+00,9.993003519758230091e-01
6.261999999999999567e+00,9.989845165012990469e-01
6.299000000000000377e+00,9.992032367524960046e-01
6.338000000000000078e+00,1.004071222100159977e+00
6.259999999999999787e+00,1.001854647495930006e+00
6.246999999999999886e+00,1.001092764161080062e+00
6.232999999999999652e+00,9.980205812799219922e-01
6.233999999999999986e+00,1.001084188991300028e+00
6.246000000000000441e+00,9.947073962748309572e-01
6.283999999999999808e+00,1.000997075147679993e+00
6.258000000000000007e+00,1.006753011452659941e+00
6.256000000000000227e+00,1.000394481558140036e+00
6.230999999999999872e+00,9.971352978687979540e-01
6.206000000000000405e+00,1.005241927879999997e+00
6.205000000000000071e+00,1.001548643622039991e+00
6.179999999999999716e+00,9.974418086764810232e-01
6.206000000000000405e+00,1.007122942166329915e+00
6.192999999999999616e+00,1.000161526482630014e+00
6.230999999999999872e+00,1.003248381531669953e+00
6.293999999999999595e+00,1.006522832520359900e+00
6.318999999999999950e+00,1.002760027727499947e+00
6.344000000000000306e+00,9.959079439533700118e-01
6.330000000000000071e+00,1.003599798213719918e+00
6.366999999999999993e+00,1.003164821066180101e+00
6.357999999999999652e+00,1.000153995039070098e+00
6.318999999999999950e+00,9.964473134636929741e-01
