center_CAM,Weights
4.779180000000000234e-02,1.003857379202240052e+00
5.575709999999999694e-02,9.864236378472950317e-01
1.035488999999999993e-01,1.004011223858809920e+00
8.761829999999999619e-02,1.003121425469319927e+00
5.575709999999999694e-02,9.917825956904160467e-01
8.761829999999999619e-02,9.982773066078649560e-01
5.575709999999999694e-02,9.995027675978590542e-01
5.575709999999999694e-02,1.004961087674800080e+00
6.372239999999999849e-02,1.002556066800730061e+00
7.965299999999999811e-03,9.871275888648890495e-01
6.372239999999999849e-02,9.940508631556840280e-01
2.389590000000000117e-02,1.001799215191540027e+00
7.168769999999999309e-02,1.003814024017529949e+00
7.168769999999999309e-02,9.994561773708270369e-01
7.168769999999999309e-02,9.949344035952809584e-01
8.761829999999999619e-02,1.003866287858329986e+00
1.194795000000000024e-01,9.982114604484659814e-01
1.115141999999999939e-01,9.968280048376529923e-01
1.274447999999999970e-01,9.954534789272280193e-01
1.194795000000000024e-01,9.993371498324630231e-01
1.194795000000000024e-01,1.005621431817250055e+00
1.672713000000000116e-01,1.002097426785520051e+00
1.832019000000000009e-01,9.898327823941499570e-01
1.672713000000000116e-01,1.003889099798060069e+00
1.991324999999999901e-01,1.008862864164630002e+00
2.548895999999999940e-01,9.899783671073050240e-01
3.186120000000000063e-01,9.990973722553899705e-01
2.867507999999999724e-01,1.003003597291800109e+00
2.947160999999999809e-01,1.005884143787350027e+00
3.345426000000000233e-01,9.991026396811110155e-01
2.867507999999999724e-01,9.931358232695940425e-01
3.345426000000000233e-01,9.975124048963059931e-01
2.867507999999999724e-01,1.011366360574329937e+00
3.584384999999999932e-01,9.909745112159470404e-01
3.664038000000000017e-01,9.903550182748499520e-01
3.664038000000000017e-01,9.981338513682800340e-01
3.425078999999999763e-01,1.009595215652129951e+00
3.743691000000000102e-01,9.948658536004799657e-01
3.982649999999999801e-01,9.992976911541250340e-01
4.540220999999999840e-01,1.002847128135819998e+00
4.221609000000000056e-01,1.002775553190879965e+00
4.619873999999999925e-01,9.938826910549199978e-01
4.141955999999999971e-01,9.959009525670909913e-01
4.141955999999999971e-01,9.987014446912799714e-01
3.823344000000000187e-01,1.008069725144800088e+00
3.982649999999999801e-01,9.971290760069080328e-01
4.380915000000000226e-01,9.943091779899729810e-01
4.619873999999999925e-01,1.007539256819429907e+00
4.540220999999999840e-01,9.952542782175539671e-01
4.779180000000000095e-01,9.433834436296180126e-01
5.018139000000000349e-01,8.976428704180300366e-01
3.902997000000000272e-01,8.604295098755310178e-01
3.026813999999999893e-01,7.881217823513909648e-01
4.221609000000000056e-01,7.120990340476629488e-01
4.141955999999999971e-01,6.463080194911180465e-01
4.779180000000000095e-01,5.682956238078630262e-01
4.779180000000000095e-01,4.745064142601400081e-01
5.257098000000000049e-01,3.233982233855670074e-01
4.858833000000000180e-01,1.900691668367230081e-01
5.018139000000000349e-01,1.300114094826969879e-01
4.301262000000000141e-01,1.148035189059609940e-01
4.858833000000000180e-01,6.951246662369950369e-02
4.699527000000000010e-01,0.000000000000000000e+00
5.177445000000000519e-01,0.000000000000000000e+00
4.619873999999999925e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
4.619873999999999925e-01,0.000000000000000000e+00
4.699527000000000010e-01,0.000000000000000000e+00
4.301262000000000141e-01,0.000000000000000000e+00
5.496056999999999748e-01,0.000000000000000000e+00
5.097791999999999879e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
5.097791999999999879e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
5.018139000000000349e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
5.097791999999999879e-01,0.000000000000000000e+00
5.018139000000000349e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
4.938486000000000264e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
4.540220999999999840e-01,0.000000000000000000e+00
4.221609000000000056e-01,0.000000000000000000e+00
4.062302999999999886e-01,0.000000000000000000e+00
4.221609000000000056e-01,0.000000000000000000e+00
4.221609000000000056e-01,0.000000000000000000e+00
4.141955999999999971e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.982649999999999801e-01,0.000000000000000000e+00
3.823344000000000187e-01,3.086502012777010001e-02
4.380915000000000226e-01,6.394832163459540642e-02
4.062302999999999886e-01,8.177670071363790649e-02
3.743691000000000102e-01,1.120531906615619966e-01
4.141955999999999971e-01,1.527689131046839899e-01
4.858833000000000180e-01,1.760001430707129888e-01
5.018139000000000349e-01,2.076758597155569930e-01
4.460567999999999755e-01,2.553951673179160053e-01
3.425078999999999763e-01,3.170792026202580161e-01
4.380915000000000226e-01,3.633038708980840248e-01
4.221609000000000056e-01,4.088148844797169779e-01
4.380915000000000226e-01,4.985240132417069758e-01
4.699527000000000010e-01,5.522914686357609515e-01
4.779180000000000095e-01,5.599215253937499526e-01
