TapeCenterLine,Weights
5.177445000000000519e-01,7.279487762205349988e-01
5.496056999999999748e-01,6.484560479939279753e-01
5.336750999999999578e-01,5.612519502429730300e-01
6.292586999999999486e-01,4.991790593785809804e-01
5.735015999999999448e-01,3.889978985676200152e-01
5.973975000000000257e-01,2.171432780402499929e-01
5.973975000000000257e-01,1.233708879527490032e-01
6.292586999999999486e-01,1.201146461608140065e-01
5.973975000000000257e-01,5.871149065553060015e-02
5.735015999999999448e-01,0.000000000000000000e+00
5.655362999999999918e-01,0.000000000000000000e+00
5.814669000000000088e-01,5.212171496566540135e-02
6.133281000000000427e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.735015999999999448e-01,0.000000000000000000e+00
5.416404000000000218e-01,0.000000000000000000e+00
5.735015999999999448e-01,0.000000000000000000e+00
6.292586999999999486e-01,0.000000000000000000e+00
6.212933999999999957e-01,0.000000000000000000e+00
6.212933999999999957e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.973975000000000257e-01,0.000000000000000000e+00
5.973975000000000257e-01,0.000000000000000000e+00
6.053627999999999787e-01,0.000000000000000000e+00
5.973975000000000257e-01,0.000000000000000000e+00
5.973975000000000257e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.814669000000000088e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.735015999999999448e-01,0.000000000000000000e+00
5.814669000000000088e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
6.133281000000000427e-01,0.000000000000000000e+00
5.894321999999999617e-01,0.000000000000000000e+00
5.496056999999999748e-01,0.000000000000000000e+00
5.575710000000000388e-01,0.000000000000000000e+00
4.858833000000000180e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
4.779180000000000095e-01,0.000000000000000000e+00
5.097791999999999879e-01,0.000000000000000000e+00
5.018139000000000349e-01,0.000000000000000000e+00
4.699527000000000010e-01,0.000000000000000000e+00
5.018139000000000349e-01,5.561628131446030160e-02
5.018139000000000349e-01,6.996565523499870265e-02
4.938486000000000264e-01,9.114239325461530317e-02
4.460567999999999755e-01,1.311725945160130136e-01
4.540220999999999840e-01,1.511045246663769992e-01
5.097791999999999879e-01,1.710854856507799948e-01
6.053627999999999787e-01,2.085408158270140033e-01
5.177445000000000519e-01,2.670925339014930122e-01
5.177445000000000519e-01,3.181115752570150002e-01
3.982649999999999801e-01,3.628479450297960041e-01
4.779180000000000095e-01,4.386936511717760001e-01
4.380915000000000226e-01,5.113015087604979581e-01
4.540220999999999840e-01,5.536148633233930472e-01
4.540220999999999840e-01,5.711429037126950492e-01
