Simulation,Gap_%,Overlap_%,Total_layout_area_mm2,Gap_area_mm2,Overlap_area_mm2
89,2.517841063216112,1.376984606544044,183969.37254254532,4632.056405617233,2533.2299406665143
90,2.356303688869579,1.2332122984981475,183851.81800996372,4332.1071698225605,2267.283230711305
91,2.678739932085918,1.4386074889665001,184034.45264229356,4929.804371724866,2647.533417990542
92,2.4986436273756953,1.3748087485732061,183982.0293944941,4597.055252982005,2529.401035918033
93,2.4876352122224286,1.2917661329871826,184129.32313173317,4580.465878251812,2378.520237114263
94,2.4191871618182916,1.0423661437496188,184357.25529294534,4459.947051927506,1921.6776127197143
95,2.7167869864992915,1.4972770398650344,184008.02987027937,4999.106209629479,2755.1099827556873
96,2.6557446692545423,1.3822542268132434,184283.23627804365,4894.092223783897,2547.262822761495
97,2.7375656184727095,1.5278661171921524,184074.96583783356,5039.172976991917,2812.419033269289
98,2.6640866143557385,1.4461036504395046,184105.24867331152,4904.723286232038,2662.3527217154856
99,2.387788939363599,1.1769011837439802,184185.4927042415,4397.960822704227,2167.6812439209007
100,2.6091694661881206,1.232298549167905,184261.37790159113,4807.6916101858205,2270.6502865580983
101,2.5027642474086695,1.264928627749465,184171.80734783833,4609.38614810807,2329.6419153863994
102,2.641280807170431,1.52628177838271,184086.87672365888,4862.251343421493,2809.6844558270477
103,2.5832330790764475,1.4757503281627604,183948.9786536931,4751.830865205474,2714.6276561339223
104,2.733739268449828,1.4619823806163752,184176.967533723,5034.918084909476,2692.634814496572
105,3.095853047811375,1.6374990909774194,184423.36707473523,5709.47643045955,3019.930959398739
106,2.635619008807547,1.3983068032866108,184095.5020130304,4852.056045415109,2574.2199291928437
107,2.687723577594626,1.3626057065070745,184245.48362448462,4952.009304028519,2510.539473848785
108,2.600186236990851,1.4759734600193557,183930.8471131657,4782.544572217218,2714.7704881791033
109,2.770199172962263,1.3977939686440166,184368.247609898,5107.367670494412,2577.0882451858206
110,2.580774455788063,1.2425573282476177,184332.8806954372,4757.2158986061295,2290.441717451093
111,2.8203398963354434,1.5604871461349779,184193.36256316665,5194.878890770782,2874.313746832012
112,2.520195392140875,1.3851340394327356,183940.30055651785,4635.654978915439,2547.8197152432103
113,2.609242464785874,1.3974568860633994,184096.12041072617,4803.514149780001,2572.66391165526
114,2.6210259454988147,1.4591964826854484,184061.76026474097,4824.306492280689,2685.8227317520227
115,2.573081487794311,1.3500379284732262,184122.87717973546,4737.631667506029,2485.728676922603
116,2.5228607180484377,1.3104715255168737,184159.07968430535,4646.0770800748605,2413.3523009167516
117,2.7026593757844304,1.5636065756930888,183892.67086753985,4969.992510581969,2875.3578939025024
118,2.5046976965466774,1.4616666106297027,183886.82042572304,4605.80895545601,2687.812255511394
119,2.5776371825861717,1.5105776772704542,183871.5711029308,4739.541984954514,2777.5229079273436
120,2.4835279158910377,1.3091040180828653,183923.3318956167,4567.787291464565,2407.7477280374023
