X_mm,Weights,Y_normalised,Weights
3.060099346790000254e+02,9.950333649999829611e-01,-9.181458338000539898e-01,9.950333649999829611e-01
3.080000014089999922e+02,1.002479986000029966e+00,-9.327404518002140321e-01,1.002479986000029966e+00
3.100049613809999869e+02,1.003749111000020067e+00,-9.274893738001419585e-01,1.003749111000020067e+00
3.120124596030000248e+02,1.005729933999929937e+00,-9.140662428002319650e-01,1.005729933999929937e+00
3.140239194709999992e+02,1.006200067000039944e+00,-9.174055628001840379e-01,1.006200067000039944e+00
3.160363196050000170e+02,1.001995059000019950e+00,-9.196718757999630123e-01,1.001995059000019950e+00
3.180403097230000071e+02,1.002507485999960091e+00,-8.974344298000009879e-01,1.002507485999960091e+00
3.200453246949999766e+02,9.936203019999819697e-01,-8.931499678001270093e-01,9.936203019999819697e-01
3.220325652989999980e+02,9.997402450000270058e-01,-9.108789347999960428e-01,9.997402450000270058e-01
3.240320457889999943e+02,9.951494910000350247e-01,-9.149198827998930028e-01,9.951494910000350247e-01
3.260223447710000073e+02,1.005288189000000054e+00,-8.984899028001790411e-01,1.005288189000000054e+00
3.280329211490000034e+02,9.952186190000129606e-01,-9.038970698000530213e-01,9.952186190000129606e-01
3.300233583869999734e+02,9.977594219999450509e-01,-9.074385288002420058e-01,9.977594219999450509e-01
3.320188772309999763e+02,1.005446387000030084e+00,-8.947170257998779963e-01,1.005446387000030084e+00
3.340297700049999889e+02,9.985681919999650491e-01,-8.881185298000100481e-01,9.985681919999650491e-01
3.360269063889999757e+02,1.001793769000020040e+00,-9.212836977999929733e-01,1.001793769000020040e+00
3.380304939270000091e+02,1.004961903999999961e+00,-9.270863297998059860e-01,1.004961903999999961e+00
3.400404177350000055e+02,9.991131559999929523e-01,-9.035155778002490479e-01,9.991131559999929523e-01
3.420386440469999911e+02,1.001820824999980042e+00,-8.855889018002469637e-01,1.001820824999980042e+00
3.440422856970000112e+02,9.980711350000319726e-01,-8.923440377998870243e-01,9.980711350000319726e-01
3.460384279670000183e+02,1.004362404999989966e+00,-8.905481347999280040e-01,1.004362404999989966e+00
3.480471527770000080e+02,1.000182877999979958e+00,-8.810650048000070456e-01,1.000182877999979958e+00
3.500475185330000159e+02,1.005373797000030045e+00,-8.830663297999310490e-01,1.005373797000030045e+00
3.520582661270000244e+02,9.970165400000039480e-01,-8.914721287999900490e-01,9.970165400000039480e-01
3.540522992069999759e+02,9.928524939999480159e-01,-8.878181838001070192e-01,9.928524939999480159e-01
3.560380041949999850e+02,9.946915990000489982e-01,-8.786441347999699447e-01,9.946915990000489982e-01
3.580273873930000263e+02,9.925082649999690254e-01,-8.812653927998890246e-01,9.925082649999690254e-01
3.600124039230000221e+02,1.003307921000019975e+00,-8.951254697998930476e-01,1.003307921000019975e+00
3.620190197649999959e+02,1.003121668000030109e+00,-8.837878257999709497e-01,1.003121668000030109e+00
3.640252631010000073e+02,9.996394889999750122e-01,-8.834715887999780026e-01,9.996394889999750122e-01
3.660245420790000139e+02,9.999683480000099989e-01,-9.015290478000680396e-01,9.999683480000099989e-01
3.680244787749999773e+02,9.940506940000090053e-01,-9.135604678002100520e-01,9.940506940000090053e-01
3.700125801629999955e+02,1.004346812999979965e+00,-9.112715808001330409e-01,1.004346812999979965e+00
3.720212737890000199e+02,1.000823228000000009e+00,-9.187894817999899821e-01,1.000823228000000009e+00
3.740229202450000230e+02,9.973446220000139473e-01,-9.256833118000149518e-01,9.973446220000139473e-01
3.760176094889999945e+02,1.000453406999950001e+00,-9.159786317998740435e-01,1.000453406999950001e+00
3.780185163030000126e+02,9.913386750000370284e-01,-9.099148458000739792e-01,9.913386750000370284e-01
3.800011936529999730e+02,9.989686419999940226e-01,-9.178916568001229681e-01,9.989686419999940226e-01
3.819991309370000181e+02,9.938788120000200399e-01,-9.299947387999050186e-01,9.938788120000200399e-01
3.839868885610000007e+02,9.985980439999759817e-01,-9.216874197998660145e-01,9.985980439999759817e-01
3.859840846490000104e+02,9.931796879999980066e-01,-9.208081898001410082e-01,9.931796879999980066e-01
3.879704440250000061e+02,9.957321770000080452e-01,-9.055551818000819875e-01,9.957321770000080452e-01
3.899619083790000218e+02,9.978148659999990233e-01,-8.919998028000579726e-01,9.978148659999990233e-01
3.919575381110000194e+02,9.971305359999860229e-01,-8.812256438001779824e-01,9.971305359999860229e-01
3.939517991829999914e+02,9.980280430000050274e-01,-8.815651708001720488e-01,9.980280430000050274e-01
3.959478552690000015e+02,1.000823672000000109e+00,-8.958036827998510088e-01,1.000823672000000109e+00
3.979495026129999928e+02,1.001809472000019907e+00,-9.027116247999630305e-01,1.001809472000019907e+00
3.999531215569999745e+02,1.001009703000020012e+00,-8.915167538000330349e-01,1.001009703000020012e+00
4.019551409630000194e+02,1.002848696999959932e+00,-8.873962328001430144e-01,1.002848696999959932e+00
4.039608383570000001e+02,1.000096825999980066e+00,-8.950674908000449959e-01,1.000096825999980066e+00
4.059610320090000073e+02,9.982993490000350301e-01,-8.940560717998099483e-01,9.982993490000350301e-01
4.079576307070000212e+02,1.002577390999989992e+00,-9.002541688001880482e-01,1.002577390999989992e+00
4.099627854889999981e+02,9.980428579999910399e-01,-9.159658417998459701e-01,9.980428579999910399e-01
4.119588712049999799e+02,9.919664510000250068e-01,-9.131786268001750306e-01,9.919664510000250068e-01
4.139428041069999722e+02,9.986991330000020151e-01,-9.080591277998449895e-01,9.986991330000020151e-01
4.159402023729999769e+02,1.000039716999989947e+00,-8.931739708000350220e-01,1.000039716999989947e+00
4.179402818070000194e+02,1.000909057999959995e+00,-8.901622877999100236e-01,1.000909057999959995e+00
