TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights,TapeEdgeLeft_b,TapeEdgeRight_b,TapeWidth,TapeCenterLine,Var1_c,Var2_c,Var3_c,Var4_c,Var5_c,Var6_c,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1,Var1_d,Var2_d,Var3_d,Var4_d,Var5_d,Var6_d,TapeEdgeLeft_d,TapeEdgeRight_d,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
3.089999999999999969e-01,nan,1.839354345665769941e+01,nan,nan,nan,nan,6.808754977992920177e-01,3.393217799999999951e+00,-2.803785599999999878e+00,6.197003399999999829e+00,2.947160999999999809e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.180000000000000049e-01,8.370000000000000000e+02,1.959812687699999856e+01,2.490827614691999941e+02,4.820142000245999751e-04,-9.172385307998349724e-01,1.372611258000029864e+02,6.863056290000150161e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.250000000000000111e-01,nan,2.061303922738060024e+01,nan,nan,nan,nan,6.917993149932629704e-01,3.377287200000000045e+00,-2.835646800000000134e+00,6.212933999999999735e+00,2.708202000000000109e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.280000000000000138e-01,8.380000000000000000e+02,2.097073813500000128e+01,2.491111691771999972e+02,3.568736619999340193e-02,-8.888308228000310063e-01,1.387471053999989863e+02,6.937355269999959662e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.380000000000000226e-01,8.390000000000000000e+02,2.235820918900000009e+01,2.491073717282000075e+02,7.100964620001880279e-02,-8.926282718001059546e-01,1.447720365999990122e+02,7.238601829999969928e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.410000000000000253e-01,nan,2.288576227282290176e+01,nan,nan,nan,nan,7.353998728565219745e-01,3.393217799999999951e+00,-2.803785599999999878e+00,6.197003399999999829e+00,2.947160999999999809e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.479999999999999760e-01,8.400000000000000000e+02,2.380592955499999874e+01,2.491009263951999912e+02,8.435452819999539331e-02,-8.990736048000660396e-01,1.511055202000019904e+02,7.555276010000090414e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.569999999999999840e-01,nan,2.530082041426570072e+01,nan,nan,nan,nan,7.879799627052750388e-01,3.393217799999999951e+00,-2.787854999999999972e+00,6.181072799999999923e+00,3.026813999999999893e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.579999999999999849e-01,8.410000000000000000e+02,2.531698475700000017e+01,2.491079715582000063e+02,5.766564420000919872e-02,-8.920284418002210058e-01,1.576661744000030012e+02,7.883308720000169467e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.679999999999999938e-01,8.420000000000000000e+02,2.689364650100009868e+01,2.490887030332000052e+02,2.808417220003620041e-02,-9.112969668001370538e-01,1.609210431999979960e+02,8.046052159999920184e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.739999999999999991e-01,nan,2.788218867375460164e+01,nan,nan,nan,nan,8.166261929907060457e-01,3.488801399999999830e+00,-2.692271400000000092e+00,6.181072799999999923e+00,3.982649999999999801e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.780000000000000027e-01,8.430000000000000000e+02,2.850285693300000034e+01,2.490782828831999893e+02,-7.521315799965700225e-03,-9.217171168000389825e-01,1.648347419999969929e+02,8.241737099999859595e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.880000000000000115e-01,8.440000000000000000e+02,3.015120435300000068e+01,2.490841198452000071e+02,-4.317545379996629712e-02,-9.158801548002200033e-01,1.640184772000029909e+02,8.200923860000149945e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
