x,Weights,y,Weights
3.401760977550000007e+02,1.001382542000019971e+00,-9.109035538002669963e-01,1.001382542000019971e+00
3.421788628389999758e+02,9.961750319999960190e-01,-8.847508027999989588e-01,9.961750319999960190e-01
3.441712129030000256e+02,9.956163840000159526e-01,-8.691628567999599708e-01,9.956163840000159526e-01
3.461624456710000004e+02,1.000637307999969972e+00,-8.866426597998610104e-01,1.000637307999969972e+00
3.481637202869999896e+02,9.979873030000020462e-01,-9.045684807998100041e-01,9.979873030000020462e-01
3.501596948929999940e+02,1.003291996000029940e+00,-8.998303938001870339e-01,1.003291996000029940e+00
3.521662788849999970e+02,9.980278209999939865e-01,-9.054831968001050280e-01,9.980278209999939865e-01
3.541623345269999845e+02,9.993417030000270040e-01,-9.197146527997690502e-01,9.993417030000270040e-01
3.561610179329999823e+02,9.930954119999170215e-01,-9.097925608000989595e-01,9.930954119999170215e-01
3.581472087569999871e+02,9.957758030000429805e-01,-8.915832567999469882e-01,9.957758030000429805e-01
3.601387603630000172e+02,1.003190352000020047e+00,-8.970962048001069888e-01,1.003190352000020047e+00
3.621451410669999973e+02,9.995410850000040481e-01,-9.167372948001000221e-01,9.995410850000040481e-01
3.641442232370000056e+02,1.010908500999960102e+00,-9.138002507999659629e-01,1.010908500999960102e+00
3.661660402389999831e+02,1.001050665000009943e+00,-9.055622857999310327e-01,1.001050665000009943e+00
3.681681415689999994e+02,9.971580360000019683e-01,-9.204254197998690268e-01,9.971580360000019683e-01
3.701624576410000032e+02,1.002279827000019941e+00,-9.217315628001190309e-01,1.002279827000019941e+00
3.721670172949999937e+02,9.974582849999650280e-01,-9.094707407999179649e-01,9.974582849999650280e-01
3.741619338649999804e+02,9.997972430000170441e-01,-9.037489488001140270e-01,9.997972430000170441e-01
3.761615283510000154e+02,9.962176589999960363e-01,-9.097866327999779568e-01,9.962176589999960363e-01
3.781539636690000066e+02,1.000653454999989922e+00,-9.132352618001959854e-01,1.000653454999989922e+00
3.801552705789999891e+02,1.002209013000030069e+00,-9.141776917999779872e-01,1.002209013000030069e+00
3.821596886049999853e+02,1.001409243999970000e+00,-9.169776128001669857e-01,1.001409243999970000e+00
3.841625070929999879e+02,1.001651274000010083e+00,-9.268518837998840354e-01,1.001651274000010083e+00
3.861658096410000098e+02,9.916262389999990212e-01,-9.276626758001500495e-01,9.916262389999990212e-01
3.881490621190000070e+02,9.955469230000060232e-01,-9.106192088001420215e-01,9.955469230000060232e-01
3.901401559650000195e+02,9.993547210000029990e-01,-9.081169888000319990e-01,9.993547210000029990e-01
3.921388654070000257e+02,1.004675782999949973e+00,-9.161978237999049979e-01,1.004675782999949973e+00
3.941482169729999896e+02,1.006530813000040103e+00,-9.176932137999069816e-01,1.006530813000040103e+00
3.961612785990000134e+02,9.965594250000150423e-01,-9.139934638001819822e-01,9.965594250000150423e-01
3.981543974489999869e+02,9.941642459999679993e-01,-9.294154528001850046e-01,9.941642459999679993e-01
4.001427259409999806e+02,9.995129190000110464e-01,-9.311059257999549921e-01,9.995129190000110464e-01
4.021417517790000034e+02,1.004175929999999939e+00,-9.271810978000299963e-01,1.004175929999999939e+00
4.041501036390000081e+02,1.008668501999979927e+00,-9.287123188000809826e-01,1.008668501999979927e+00
4.061674406430000204e+02,9.976575560000360277e-01,-9.297270207999870362e-01,9.976575560000360277e-01
4.081627557549999779e+02,9.984851579999659554e-01,-9.309867488002510072e-01,9.984851579999659554e-01
4.101597260710000228e+02,1.003290553000030005e+00,-9.261493268001570467e-01,1.003290553000030005e+00
4.121663071770000215e+02,9.977423869999879624e-01,-9.317562658000040354e-01,9.977423869999879624e-01
4.141617919509999979e+02,1.001637257000030035e+00,-9.359899298000300405e-01,1.001637257000030035e+00
4.161650664649999953e+02,9.980581169999990232e-01,-9.187660428002000224e-01,9.980581169999990232e-01
4.181611826989999940e+02,9.999670159999709540e-01,-8.989672128002440532e-01,9.999670159999709540e-01
4.201611167309999928e+02,1.002349620999980040e+00,-9.109562968000090022e-01,1.002349620999980040e+00
4.221658159730000079e+02,1.001224233000040043e+00,-9.186880817998710480e-01,1.001224233000040043e+00
4.241682644389999837e+02,1.001195400999989937e+00,-9.045374658002169888e-01,1.001195400999989937e+00
4.261706552410000199e+02,1.003433492000000093e+00,-8.893778977998749724e-01,1.003433492000000093e+00
4.281775222250000184e+02,9.992122259999970391e-01,-8.999907887999260003e-01,9.992122259999970391e-01
4.301759466770000131e+02,9.995407519999730539e-01,-9.030797838000810263e-01,9.995407519999730539e-01
