width_LLS_A,Weights
6.115000000000000213e+00,1.475016179128469940e-01
6.097000000000000419e+00,1.266570353908099966e-01
6.057999999999999829e+00,1.021495201952449944e-01
6.041999999999999815e+00,1.128226630450689973e-02
6.054999999999999716e+00,0.000000000000000000e+00
6.080000000000000071e+00,0.000000000000000000e+00
6.083000000000000185e+00,0.000000000000000000e+00
6.014999999999999680e+00,0.000000000000000000e+00
6.033999999999999808e+00,0.000000000000000000e+00
6.035000000000000142e+00,0.000000000000000000e+00
6.043999999999999595e+00,0.000000000000000000e+00
6.016000000000000014e+00,0.000000000000000000e+00
6.089999999999999858e+00,0.000000000000000000e+00
6.089999999999999858e+00,0.000000000000000000e+00
6.091000000000000192e+00,0.000000000000000000e+00
6.041000000000000369e+00,0.000000000000000000e+00
6.068999999999999950e+00,0.000000000000000000e+00
6.011999999999999567e+00,0.000000000000000000e+00
6.022000000000000242e+00,0.000000000000000000e+00
6.057999999999999829e+00,0.000000000000000000e+00
6.051000000000000156e+00,0.000000000000000000e+00
6.022000000000000242e+00,0.000000000000000000e+00
6.011999999999999567e+00,0.000000000000000000e+00
6.012999999999999901e+00,0.000000000000000000e+00
6.025000000000000355e+00,0.000000000000000000e+00
6.038000000000000256e+00,0.000000000000000000e+00
6.035999999999999588e+00,0.000000000000000000e+00
6.035000000000000142e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.038000000000000256e+00,0.000000000000000000e+00
6.038000000000000256e+00,0.000000000000000000e+00
6.049999999999999822e+00,0.000000000000000000e+00
6.049999999999999822e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.060999999999999943e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.059999999999999609e+00,0.000000000000000000e+00
6.059999999999999609e+00,0.000000000000000000e+00
6.059999999999999609e+00,0.000000000000000000e+00
6.075000000000000178e+00,0.000000000000000000e+00
6.073999999999999844e+00,0.000000000000000000e+00
6.073999999999999844e+00,0.000000000000000000e+00
6.035999999999999588e+00,0.000000000000000000e+00
6.062000000000000277e+00,0.000000000000000000e+00
6.049999999999999822e+00,0.000000000000000000e+00
6.075000000000000178e+00,0.000000000000000000e+00
6.049999999999999822e+00,0.000000000000000000e+00
6.062999999999999723e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.036999999999999922e+00,0.000000000000000000e+00
6.033999999999999808e+00,0.000000000000000000e+00
6.049000000000000377e+00,0.000000000000000000e+00
6.022999999999999687e+00,0.000000000000000000e+00
6.017000000000000348e+00,0.000000000000000000e+00
6.038000000000000256e+00,0.000000000000000000e+00
6.022999999999999687e+00,0.000000000000000000e+00
6.009999999999999787e+00,0.000000000000000000e+00
6.022999999999999687e+00,0.000000000000000000e+00
6.035000000000000142e+00,0.000000000000000000e+00
6.025000000000000355e+00,6.590272488567890108e-02
