x_LE,y_LE,x_RE,y_RE
7.778762041855828702e-02,4.093290000000000077e+02,7.713785174641411835e-02,4.156290000000000191e+02
7.823053925368175787e-02,4.093290000000000077e+02,7.763057045877587437e-02,4.156399999999999864e+02
7.872882294319565044e-02,4.093299999999999841e+02,7.806854264754188588e-02,4.156399999999999864e+02
7.922710663270955689e-02,4.093290000000000077e+02,7.856126135990365578e-02,4.156270000000000095e+02
7.967002546783301387e-02,4.093799999999999955e+02,7.905398007226541179e-02,4.156129999999999995e+02
8.016830915734690644e-02,4.093799999999999955e+02,7.949195226103143719e-02,4.155500000000000114e+02
8.066659284686081288e-02,4.093670000000000186e+02,7.998467097339320708e-02,4.155749999999999886e+02
8.116487653637470545e-02,4.093550000000000182e+02,8.042264316215921860e-02,4.156009999999999991e+02
8.160779537149816243e-02,4.093809999999999718e+02,8.091536187452097462e-02,4.155889999999999986e+02
8.210607906101206888e-02,4.093670000000000186e+02,8.146282711047848901e-02,4.156270000000000095e+02
8.260436275052596145e-02,4.093550000000000182e+02,8.190079929924450053e-02,4.156659999999999968e+02
8.304728158564941842e-02,4.093299999999999841e+02,8.239351801160627042e-02,4.156779999999999973e+02
8.354556527516331099e-02,4.093299999999999841e+02,8.283149020037228194e-02,4.156789999999999736e+02
8.398848411028678185e-02,4.093679999999999950e+02,8.332420891273405184e-02,4.156539999999999964e+02
8.454213265419111001e-02,4.093799999999999955e+02,8.376218110150006335e-02,4.156410000000000196e+02
8.498505148931456699e-02,4.093659999999999854e+02,8.425489981386181937e-02,4.156159999999999854e+02
8.548333517882847343e-02,4.092900000000000205e+02,8.474761852622358926e-02,4.156139999999999759e+02
8.598161886834236600e-02,4.092640000000000100e+02,8.524033723858535916e-02,4.156270000000000095e+02
8.642453770346582298e-02,4.093149999999999977e+02,8.567830942735137068e-02,4.156150000000000091e+02
8.692282139297972943e-02,4.093290000000000077e+02,8.617102813971314057e-02,4.156139999999999759e+02
8.736574022810320028e-02,4.093290000000000077e+02,8.666374685207489659e-02,4.156270000000000095e+02
8.786402391761709285e-02,4.093410000000000082e+02,8.715646556443666648e-02,4.156270000000000095e+02
8.836230760713098542e-02,4.093550000000000182e+02,8.759443775320269188e-02,4.156009999999999991e+02
8.886059129664487799e-02,4.093799999999999955e+02,8.808715646556444789e-02,4.155910000000000082e+02
8.930351013176834885e-02,4.093419999999999845e+02,8.857987517792621779e-02,4.155910000000000082e+02
8.980179382128224141e-02,4.092909999999999968e+02,8.901784736669221543e-02,4.156039999999999850e+02
9.030007751079613398e-02,4.092780000000000200e+02,8.951056607905398532e-02,4.156159999999999854e+02
9.074299634591960484e-02,4.092780000000000200e+02,9.000328479141575522e-02,4.156170000000000186e+02
9.124128003543349741e-02,4.092780000000000200e+02,9.049600350377752511e-02,4.156419999999999959e+02
9.173956372494738998e-02,4.092649999999999864e+02,9.093397569254353663e-02,4.156410000000000196e+02
9.218248256007086083e-02,4.092649999999999864e+02,9.137194788130954815e-02,4.156279999999999859e+02
9.268076624958475340e-02,4.092889999999999873e+02,9.191941311726706254e-02,4.156170000000000186e+02
9.317904993909865985e-02,4.093290000000000077e+02,9.235738530603307406e-02,4.155760000000000218e+02
