x_LE,y_LE,x_RE,y_RE
9.594951728601477936e-02,3.218439999999999941e+02,9.934771700953336226e-02,3.281610000000000014e+02
9.638099347392264926e-02,3.218319999999999936e+02,9.984947315604615625e-02,3.281619999999999777e+02
9.686640418531902719e-02,3.218319999999999936e+02,1.003512293025589502e-01,3.281879999999999882e+02
9.735181489671539123e-02,3.218330000000000268e+02,1.008529854490717442e-01,3.281879999999999882e+02
9.783722560811175528e-02,3.218319999999999936e+02,1.012989909126386645e-01,3.281630000000000109e+02
9.826870179601963906e-02,3.218330000000000268e+02,1.018007470591514724e-01,3.281379999999999768e+02
9.875411250741598923e-02,3.218580000000000041e+02,1.022467525227184065e-01,3.281270000000000095e+02
9.923952321881236716e-02,3.218960000000000150e+02,1.027485086692311866e-01,3.281019999999999754e+02
9.967099940672025093e-02,3.219080000000000155e+02,1.032502648157439945e-01,3.281019999999999754e+02
1.001564101181166011e-01,3.218829999999999814e+02,1.037520209622567746e-01,3.280869999999999891e+02
1.006418208295129790e-01,3.219449999999999932e+02,1.041980264258237088e-01,3.280609999999999786e+02
1.010732970174208628e-01,3.219200000000000159e+02,1.046997825723365028e-01,3.280620000000000118e+02
1.015587077288172130e-01,3.219200000000000159e+02,1.052015387188492967e-01,3.280830000000000268e+02
1.020441184402135770e-01,3.218940000000000055e+02,1.056475441824162309e-01,3.280969999999999800e+02
1.025295291516099411e-01,3.218450000000000273e+02,1.061493003289290110e-01,3.280980000000000132e+02
1.029610053395178249e-01,3.218580000000000041e+02,1.065953057924959452e-01,3.281089999999999804e+02
1.034464160509141889e-01,3.218570000000000277e+02,1.071528126219546129e-01,3.281240000000000236e+02
1.041475648562645018e-01,3.218580000000000041e+02,1.075988180855215331e-01,3.281240000000000236e+02
1.046329755676608519e-01,3.218840000000000146e+02,1.081005742320343410e-01,3.281129999999999995e+02
1.050644517555687357e-01,3.218840000000000146e+02,1.086023303785471211e-01,3.281129999999999995e+02
1.055498624669651136e-01,3.219100000000000250e+02,1.090483358421140553e-01,3.281139999999999759e+02
