TapeWidthAfterCompaction,Weights
6.147999999999999687e+00,1.000903570058750081e+00
6.097000000000000419e+00,1.001040165429990081e+00
6.059999999999999609e+00,9.999712566367849886e-01
6.073000000000000398e+00,9.959491550624249845e-01
6.123999999999999666e+00,9.978634097938510195e-01
6.149000000000000021e+00,9.908551964322910299e-01
6.185999999999999943e+00,9.952848003464920268e-01
6.173000000000000043e+00,9.926098377656750182e-01
6.187000000000000277e+00,9.976185033472360075e-01
6.211000000000000298e+00,1.002063948238409941e+00
6.213000000000000078e+00,1.004952820181439943e+00
6.224999999999999645e+00,1.006086694275730054e+00
6.237000000000000099e+00,1.003163733140399971e+00
6.209999999999999964e+00,1.000038563263339952e+00
6.222999999999999865e+00,9.948917172292720545e-01
6.233999999999999986e+00,1.000519770899420013e+00
6.259000000000000341e+00,1.002054472052970047e+00
6.285000000000000142e+00,1.004351389753959989e+00
6.233999999999999986e+00,9.972703016726559566e-01
6.235000000000000320e+00,9.949191929499400233e-01
6.272999999999999687e+00,1.007525112972889936e+00
6.235000000000000320e+00,1.001981188466740003e+00
6.298000000000000043e+00,9.994663471204390248e-01
6.296999999999999709e+00,9.932197274646680230e-01
6.373000000000000220e+00,1.002580227360670095e+00
6.358999999999999986e+00,1.008792108220369910e+00
6.360000000000000320e+00,1.000869588982020053e+00
6.333999999999999631e+00,1.001118428574000019e+00
6.333999999999999631e+00,9.955069222333590151e-01
6.296999999999999709e+00,1.003109915101670024e+00
6.294999999999999929e+00,1.002308376321920047e+00
6.318999999999999950e+00,1.007187350047149987e+00
6.344000000000000306e+00,9.998348255473590296e-01
6.331000000000000405e+00,9.968653150406260322e-01
6.331000000000000405e+00,1.008708798787760097e+00
6.293999999999999595e+00,1.000602548739500053e+00
6.294999999999999929e+00,1.003767653991239905e+00
6.320999999999999730e+00,9.996845836254349971e-01
6.269999999999999574e+00,1.006260157211509965e+00
6.283000000000000362e+00,1.008665028879990100e+00
6.282000000000000028e+00,1.000621088917770019e+00
6.256000000000000227e+00,1.001866683026590099e+00
6.219000000000000306e+00,1.000616430810959967e+00
6.192999999999999616e+00,1.005909356227489893e+00
6.206999999999999851e+00,1.005367726347830004e+00
6.217999999999999972e+00,9.970619505879599886e-01
6.232000000000000206e+00,9.983350760026470372e-01
6.230999999999999872e+00,9.938458330575039579e-01
6.254999999999999893e+00,1.007935548222850031e+00
6.243000000000000327e+00,9.976049162683340299e-01
6.254999999999999893e+00,9.953377427818520529e-01
6.267000000000000348e+00,9.991390962669199904e-01
6.241999999999999993e+00,9.997444403741879704e-01
6.253000000000000114e+00,9.990974969297270469e-01
6.240000000000000213e+00,9.935097925680029807e-01
6.227000000000000313e+00,9.958239531081599649e-01
6.238999999999999879e+00,1.001214464233419976e+00
6.251999999999999780e+00,1.004467919628059924e+00
6.237000000000000099e+00,1.002445508090650028e+00
6.275999999999999801e+00,9.961460500106550375e-01
6.275999999999999801e+00,9.896000016360030349e-01
6.326999999999999957e+00,1.000571539462600024e+00
6.314000000000000057e+00,1.001626656147339922e+00
6.227000000000000313e+00,9.960112517957550038e-01
6.238999999999999879e+00,9.897204562173880227e-01
6.187999999999999723e+00,9.997772224440709676e-01
6.161999999999999922e+00,1.009814688514169889e+00
6.200000000000000178e+00,9.956671060310450239e-01
6.161999999999999922e+00,9.930426233854420248e-01
6.161999999999999922e+00,9.952353937958740016e-01
6.174000000000000377e+00,9.991019282879519681e-01
6.200000000000000178e+00,9.989086679829599635e-01
6.224000000000000199e+00,9.918399908360190365e-01
6.235999999999999766e+00,9.943095439228010202e-01
6.248999999999999666e+00,1.000850806624639988e+00
6.208999999999999631e+00,1.002247866865259907e+00
6.233999999999999986e+00,1.003471808334889914e+00
6.285000000000000142e+00,1.000507336081680076e+00
6.235000000000000320e+00,9.960027608644850261e-01
6.195999999999999730e+00,9.988040055642839476e-01
6.221000000000000085e+00,1.003635165640929916e+00
6.221000000000000085e+00,9.959404855457869576e-01
6.193999999999999950e+00,9.949609314500169610e-01
6.206999999999999851e+00,9.974659472968819829e-01
6.182000000000000384e+00,1.006008313313139890e+00
6.192999999999999616e+00,1.006024298593259925e+00
6.219000000000000306e+00,9.896321993409199491e-01
6.217999999999999972e+00,9.997058743203339759e-01
6.206000000000000405e+00,1.008596202200660041e+00
6.205000000000000071e+00,1.003324065918469898e+00
6.190000000000000391e+00,9.873902584649489889e-01
6.253000000000000114e+00,9.943038280653689887e-01
6.262999999999999901e+00,9.939950065479590258e-01
6.288999999999999702e+00,1.007323210545979952e+00
6.237000000000000099e+00,1.008643353498150042e+00
6.235000000000000320e+00,9.999971719188489594e-01
6.248000000000000220e+00,1.000015130925139939e+00
6.296999999999999709e+00,1.002355039914869961e+00
6.309000000000000163e+00,1.001992735940890000e+00
6.320000000000000284e+00,1.002471040990090101e+00
6.330000000000000071e+00,9.915809306876950391e-01
6.330000000000000071e+00,9.898371948894429950e-01
6.328999999999999737e+00,1.000176437636669968e+00
6.264999999999999680e+00,1.012216368659450083e+00
6.264000000000000234e+00,1.001699835217809920e+00
6.314000000000000057e+00,1.002331277604219917e+00
6.299000000000000377e+00,9.964742695986930077e-01
6.298000000000000043e+00,9.965011719307029781e-01
6.296999999999999709e+00,1.002097684825629997e+00
6.296000000000000263e+00,9.988634170229180320e-01
6.270999999999999908e+00,9.932575904533480493e-01
6.245000000000000107e+00,1.000586006868199984e+00
6.269000000000000128e+00,1.006905632911710091e+00
6.267999999999999794e+00,1.001678041709350042e+00
6.254999999999999893e+00,1.003785026766270017e+00
6.240000000000000213e+00,9.996262381849509993e-01
6.240000000000000213e+00,9.882279562884239699e-01
6.238999999999999879e+00,1.005372431298610092e+00
6.261999999999999567e+00,1.008695779206659981e+00
6.248999999999999666e+00,9.984882459535260324e-01
6.248000000000000220e+00,9.959066097872929513e-01
6.274000000000000021e+00,9.993337096208050330e-01
6.235000000000000320e+00,1.001525772902019940e+00
6.222000000000000419e+00,1.000840202001479939e+00
6.184000000000000163e+00,1.005639981358430024e+00
6.193999999999999950e+00,1.000946564231659952e+00
6.197000000000000064e+00,9.989070023128010511e-01
6.168999999999999595e+00,1.002664035326199965e+00
6.195000000000000284e+00,1.002668520224250015e+00
6.232999999999999652e+00,1.004052559522010002e+00
6.259000000000000341e+00,9.996273343704600300e-01
6.280999999999999694e+00,1.002821142943439936e+00
6.269000000000000128e+00,1.004048102538110054e+00
6.294999999999999929e+00,1.001142965411639940e+00
6.296000000000000263e+00,1.000281098438770000e+00
6.333000000000000185e+00,9.984955657760480330e-01
6.322000000000000064e+00,1.000117329073580086e+00
6.298000000000000043e+00,1.003338332693819890e+00
6.309999999999999609e+00,9.929978915797209593e-01
6.283999999999999808e+00,9.951659948932880528e-01
6.285000000000000142e+00,1.003380351567439988e+00
6.298000000000000043e+00,9.994465024224430394e-01
6.272000000000000242e+00,1.002524341983159983e+00
6.312000000000000277e+00,1.003060238230849999e+00
6.325000000000000178e+00,1.000413182389340072e+00
6.325000000000000178e+00,9.935622394991779904e-01
6.314000000000000057e+00,1.002541585821449921e+00
6.275999999999999801e+00,9.959939816772810373e-01
6.264999999999999680e+00,9.969117474355170261e-01
6.225999999999999979e+00,9.922752777447619854e-01
6.251000000000000334e+00,9.950432829081240493e-01
6.277999999999999581e+00,9.964751807869349776e-01
6.253999999999999559e+00,9.996360108456440186e-01
6.240999999999999659e+00,1.008133204012690021e+00
6.264999999999999680e+00,1.002323936265339999e+00
6.280999999999999694e+00,9.920808665410100202e-01
6.280000000000000249e+00,9.980476534106610398e-01
6.267000000000000348e+00,1.002421141377350056e+00
6.227999999999999758e+00,1.000208164434430058e+00
6.227999999999999758e+00,9.961069179790059680e-01
6.229000000000000092e+00,9.958685541719709544e-01
6.203999999999999737e+00,9.931106634399350375e-01
6.192000000000000171e+00,9.737677314854500388e-01
6.203999999999999737e+00,9.381289290140020221e-01
6.256000000000000227e+00,8.981139441554050196e-01
6.269000000000000128e+00,8.473607907297330266e-01
6.294999999999999929e+00,7.984091363224959936e-01
6.298000000000000043e+00,7.406136459422479890e-01
6.283000000000000362e+00,6.865751361626749594e-01
6.269000000000000128e+00,6.316232014763280000e-01
6.294999999999999929e+00,5.604910796061409739e-01
6.278999999999999915e+00,4.961524364099429985e-01
6.280000000000000249e+00,4.118319992562819998e-01
6.280000000000000249e+00,2.816653419037620232e-01
6.294999999999999929e+00,1.734234045793300039e-01
6.320999999999999730e+00,1.216976687242850019e-01
6.307999999999999829e+00,1.247047376034139954e-01
6.267999999999999794e+00,9.043493261166400676e-02
6.280999999999999694e+00,9.416228211465800177e-03
6.280000000000000249e+00,0.000000000000000000e+00
6.307000000000000384e+00,0.000000000000000000e+00
6.307999999999999829e+00,0.000000000000000000e+00
6.307999999999999829e+00,0.000000000000000000e+00
6.294999999999999929e+00,0.000000000000000000e+00
6.296000000000000263e+00,0.000000000000000000e+00
6.309000000000000163e+00,0.000000000000000000e+00
6.293000000000000149e+00,0.000000000000000000e+00
6.293999999999999595e+00,0.000000000000000000e+00
6.307000000000000384e+00,0.000000000000000000e+00
6.283999999999999808e+00,0.000000000000000000e+00
6.283000000000000362e+00,0.000000000000000000e+00
6.283000000000000362e+00,0.000000000000000000e+00
6.232999999999999652e+00,0.000000000000000000e+00
6.293999999999999595e+00,0.000000000000000000e+00
