Gap_time,Gap_leftedge,Gap_rightedge,Gap_gap,Gap_x,LT_time,LT_y,LT_z
nan,3.335999999999999854e+00,9.362999999999999545e+00,6.027000000000000135e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.337000000000000188e+00,9.339999999999999858e+00,6.003000000000000114e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.337000000000000188e+00,9.352999999999999758e+00,6.016000000000000014e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.323999999999999844e+00,9.352999999999999758e+00,6.028999999999999915e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.323999999999999844e+00,9.355000000000000426e+00,6.030999999999999694e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.323999999999999844e+00,9.368000000000000327e+00,6.043999999999999595e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.350000000000000089e+00,9.391999999999999460e+00,6.041999999999999815e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.375000000000000000e+00,9.416999999999999815e+00,6.041999999999999815e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.349000000000000199e+00,9.416999999999999815e+00,6.067999999999999616e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.323999999999999844e+00,9.403000000000000469e+00,6.078999999999999737e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.311999999999999833e+00,9.390000000000000568e+00,6.078000000000000291e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.298000000000000043e+00,9.365000000000000213e+00,6.067000000000000171e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.285000000000000142e+00,9.337999999999999190e+00,6.052999999999999936e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.271999999999999797e+00,9.324999999999999289e+00,6.052999999999999936e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
