time,leftedge,rightedge,gap,x_LE,y_LE,time,leftedge,rightedge,gap,x_RE,y_RE
4.779999999999999805e-01,3.387999999999999901e+00,9.490999999999999659e+00,6.102999999999999758e+00,2.664882644812398629e-02,3.341120000000000232e+02,4.689999999999999725e-01,3.169999999999999929e+00,9.486000000000000654e+00,6.315999999999999837e+00,2.589157557690184228e-02,3.405140000000000100e+02
4.869999999999999885e-01,3.414000000000000146e+00,9.503999999999999559e+00,6.089999999999999858e+00,2.715058259463678028e-02,3.340860000000000127e+02,4.779999999999999805e-01,3.145000000000000018e+00,9.451000000000000512e+00,6.306000000000000050e+00,2.638842883957160171e-02,3.405489999999999782e+02
4.959999999999999964e-01,3.374000000000000110e+00,9.464999999999999858e+00,6.091000000000000192e+00,2.765233874114957774e-02,3.341259999999999764e+02,4.859999999999999876e-01,3.157999999999999918e+00,9.451999999999999957e+00,6.293999999999999595e+00,2.683007618416693996e-02,3.405480000000000018e+02
5.040000000000000036e-01,3.349000000000000199e+00,9.441000000000000725e+00,6.091999999999999638e+00,2.809834420471650496e-02,3.341510000000000105e+02,4.949999999999999956e-01,3.197000000000000064e+00,9.478999999999999204e+00,6.282000000000000028e+00,2.732692944683669939e-02,3.405210000000000150e+02
5.130000000000000115e-01,3.335999999999999854e+00,9.413999999999999702e+00,6.078000000000000291e+00,2.860010035122930241e-02,3.341639999999999873e+02,5.040000000000000036e-01,3.233999999999999986e+00,9.528000000000000469e+00,6.293999999999999595e+00,2.782378270950645882e-02,3.404719999999999800e+02
5.210000000000000187e-01,3.335999999999999854e+00,9.388999999999999346e+00,6.052999999999999936e+00,2.904610581479622963e-02,3.341639999999999873e+02,5.120000000000000107e-01,3.261000000000000121e+00,9.529999999999999361e+00,6.269000000000000128e+00,2.826543005410180054e-02,3.404700000000000273e+02
5.300000000000000266e-01,3.337000000000000188e+00,9.400999999999999801e+00,6.064000000000000057e+00,2.954786196130902362e-02,3.341630000000000109e+02,5.210000000000000187e-01,3.234999999999999876e+00,9.503999999999999559e+00,6.269000000000000128e+00,2.876228331677155650e-02,3.404959999999999809e+02
5.380000000000000338e-01,3.322000000000000064e+00,9.385999999999999233e+00,6.064000000000000057e+00,2.999386742487595431e-02,3.341779999999999973e+02,5.310000000000000275e-01,3.234999999999999876e+00,9.505000000000000782e+00,6.269999999999999574e+00,2.931434249751573365e-02,3.404950000000000045e+02
5.470000000000000417e-01,3.334999999999999964e+00,9.387000000000000455e+00,6.051999999999999602e+00,3.049562357138874830e-02,3.341650000000000205e+02,5.390000000000000346e-01,3.259999999999999787e+00,9.515000000000000568e+00,6.254999999999999893e+00,2.975598984211107537e-02,3.404850000000000136e+02
5.560000000000000497e-01,3.347999999999999865e+00,9.398999999999999133e+00,6.051000000000000156e+00,3.099737971790154575e-02,3.341519999999999868e+02,5.480000000000000426e-01,3.286000000000000032e+00,9.526999999999999247e+00,6.240999999999999659e+00,3.025284310478083480e-02,3.404730000000000132e+02
5.649999999999999467e-01,3.334999999999999964e+00,9.385999999999999233e+00,6.051000000000000156e+00,3.149913586441433627e-02,3.341650000000000205e+02,5.570000000000000506e-01,3.273000000000000131e+00,9.500999999999999446e+00,6.227999999999999758e+00,3.074969636745059423e-02,3.404990000000000236e+02
5.739999999999999547e-01,3.347999999999999865e+00,9.375999999999999446e+00,6.027999999999999581e+00,3.200089201092713026e-02,3.341519999999999868e+02,5.649999999999999467e-01,3.233999999999999986e+00,9.451999999999999957e+00,6.217999999999999972e+00,3.119134371204592901e-02,3.405480000000000018e+02
5.819999999999999618e-01,3.335999999999999854e+00,9.375000000000000000e+00,6.038999999999999702e+00,3.244689747449405748e-02,3.341639999999999873e+02,5.859999999999999654e-01,3.271999999999999797e+00,9.500000000000000000e+00,6.227999999999999758e+00,3.235066799160869755e-02,3.405000000000000000e+02
5.909999999999999698e-01,3.335999999999999854e+00,9.375999999999999446e+00,6.040000000000000036e+00,3.294865362100685147e-02,3.341639999999999873e+02,5.949999999999999734e-01,3.271999999999999797e+00,9.489000000000000767e+00,6.216999999999999638e+00,3.284752125427845698e-02,3.405110000000000241e+02
5.999999999999999778e-01,3.334999999999999964e+00,9.390000000000000568e+00,6.054999999999999716e+00,3.345040976751964545e-02,3.341650000000000205e+02,6.029999999999999805e-01,3.261000000000000121e+00,9.474999999999999645e+00,6.214000000000000412e+00,3.328916859887379870e-02,3.405249999999999773e+02
6.079999999999999849e-01,3.349000000000000199e+00,9.391000000000000014e+00,6.041999999999999815e+00,3.389641523108657961e-02,3.341510000000000105e+02,6.119999999999999885e-01,3.234999999999999876e+00,9.439999999999999503e+00,6.205000000000000071e+00,3.378602186154355813e-02,3.405600000000000023e+02
6.169999999999999929e-01,3.374000000000000110e+00,9.416000000000000369e+00,6.041999999999999815e+00,3.439817137759937360e-02,3.341259999999999764e+02,6.209999999999999964e-01,3.259999999999999787e+00,9.454000000000000625e+00,6.193999999999999950e+00,3.428287512421331756e-02,3.405459999999999923e+02
