x,y,z
-3.464859796099990064e+01,3.492324588152000047e+02,8.273134521199999369e+00
-3.416558212099999992e+01,3.492284643091999783e+02,8.126255110200009568e+00
-3.369531781700000295e+01,3.492197459281999841e+02,7.982389548200010232e+00
-3.324182302700000236e+01,3.492240539072000161e+02,7.827474226200029861e+00
-3.277546181699990058e+01,3.492310749132000183e+02,7.665552149199999832e+00
-3.231623373899989815e+01,3.492226820472000099e+02,7.508682899200019634e+00
-3.184511157900000100e+01,3.491989422821999938e+02,7.351870440200030110e+00
-3.138297389699999940e+01,3.491746754142000100e+02,7.191057816200030040e+00
-3.092057615099999879e+01,3.491634019932000115e+02,7.018199330200030062e+00
-3.044277373499999939e+01,3.491630136521999930e+02,6.842305848199989882e+00
-2.998051846299999923e+01,3.491717787022000152e+02,6.673376659199999672e+00
-2.949185148100000120e+01,3.491740705341999842e+02,6.513476242200029631e+00
-2.902554793499989927e+01,3.491821004921999929e+02,6.354550612199989956e+00
-2.855670480699999914e+01,3.491982813352000221e+02,6.193596777200039760e+00
-2.807128852900000027e+01,3.492224232652000069e+02,6.033618548200020193e+00
-2.759411864099989842e+01,3.492331051721999984e+02,5.882686031200010213e+00
-2.710294437099999953e+01,3.492265644981999912e+02,5.733817405200009709e+00
-2.663256473899999932e+01,3.492158282131999840e+02,5.583958949200029664e+00
-2.617618749100000031e+01,3.492222827571999915e+02,5.423036656200030059e+00
-2.571698655899999864e+01,3.492319104581999909e+02,5.264103809200039841e+00
-2.526132291700000110e+01,3.492333196911999948e+02,5.104199164200010408e+00
-2.477984451099990082e+01,3.492211713231999966e+02,4.942348081200029775e+00
-2.430635132100000106e+01,3.492085387391999802e+02,4.772496878200019665e+00
-2.384047128499990009e+01,3.492064504022000051e+02,4.591606709200029890e+00
-2.335856093299990022e+01,3.492042862651999826e+02,4.413720393200040171e+00
-2.288235916499990097e+01,3.491968412141999920e+02,4.250851536200020320e+00
-2.239469055700000055e+01,3.491990760471999806e+02,4.090951098199999691e+00
-2.192219370100000120e+01,3.492214398141999823e+02,3.919976197200009782e+00
-2.144898323900000037e+01,3.492488488921999874e+02,3.747983648200039930e+00
-2.097375132499989903e+01,3.492583902092000017e+02,3.589054672199989859e+00
-2.050303148100000072e+01,3.492416919401999849e+02,3.447217378199990190e+00
-2.002799996899990020e+01,3.492371991062000234e+02,3.288337871199999984e+00
-1.955841431300000011e+01,3.492403764691999868e+02,3.120430033199999897e+00
-1.910474519899990042e+01,3.492416364242000100e+02,2.950525406200040113e+00
-1.862409350700000132e+01,3.492264253692000011e+02,2.785684925200019979e+00
-1.815108659699999905e+01,3.492047645861999854e+02,2.619865492200020185e+00
-1.767437095900000088e+01,3.491883201112000279e+02,2.453028474199990150e+00
-1.720273000299999921e+01,3.491905884081999716e+02,2.278124255200039805e+00
-1.674010111500000164e+01,3.492103572252000276e+02,2.099156262200000178e+00
-1.625805002299999913e+01,3.492232679432000282e+02,1.933216870200010096e+00
-1.578507514299990078e+01,3.492197053432000189e+02,1.787333708199990046e+00
-1.531010440300000042e+01,3.492162708532000011e+02,1.645450564199999910e+00
-1.483598730099999941e+01,3.492277907152000012e+02,1.497514431200029916e+00
-1.435821980100000061e+01,3.492455464212000038e+02,1.354557142200000008e+00
-1.387166933499999999e+01,3.492498127192000084e+02,1.220649457199989962e+00
-1.337850475499990033e+01,3.492434883551999860e+02,1.100780699200039958e+00
-1.290131393699989992e+01,3.492362484792000146e+02,9.799116112000000323e-01
-1.242685884299999977e+01,3.492418416372000252e+02,8.499965802000050141e-01
-1.195967891099999925e+01,3.492520523381999737e+02,7.270636852000149641e-01
-1.147207795699990029e+01,3.492554548832000023e+02,6.151594241999910340e-01
-1.098102700699990031e+01,3.492510591212000008e+02,5.082834762000210116e-01
-1.049556864700000069e+01,3.492393539572000236e+02,4.074321112000209855e-01
-1.000540496099999999e+01,3.492329503241999760e+02,3.135631342000270161e-01
