LT_time,LT_x,LT_y,LT_z
1.040000000000000036e+00,5.192155034199998909e+01,4.991902352971999903e+02,-2.429076097999710027e-01
1.049999999999999822e+00,5.242800890999998842e+01,4.991790886001999752e+02,-2.417556107999949966e-01
1.059999999999999609e+00,5.293489498400001025e+01,4.991779966941999760e+02,-2.366389647999979917e-01
1.070000000000000284e+00,5.344303749799999537e+01,4.991899869861999832e+02,-2.345682137999889894e-01
1.080000000000000071e+00,5.394356286199999317e+01,4.992125850291999996e+02,-2.255365367999750126e-01
1.089999999999999858e+00,5.444426143999999113e+01,4.992321526882000171e+02,-2.264941948000079863e-01
1.099999999999999645e+00,5.495785247399999207e+01,4.992364304472000072e+02,-2.273950407999849876e-01
1.110000000000000320e+00,5.546031643599999938e+01,4.992250733942000238e+02,-2.212431558000129972e-01
1.120000000000000107e+00,5.595856046399998718e+01,4.992174571212000274e+02,-2.221054527999890005e-01
1.129999999999999893e+00,5.644591055999998730e+01,4.992252165222000144e+02,-2.310244718000039887e-01
1.139999999999999680e+00,5.693602756399999976e+01,4.992371439202000261e+02,-2.389575737999850014e-01
1.150000000000000355e+00,5.742916594799999075e+01,4.992312358602000018e+02,-2.408270397999940082e-01
1.160000000000000142e+00,5.792475573199999417e+01,4.992174760222000032e+02,-2.366682197999749881e-01
1.169999999999999929e+00,5.841301490999998691e+01,4.992093073991999859e+02,-2.325307568000130054e-01
1.179999999999999716e+00,5.890886364799999342e+01,4.992085586481999826e+02,-2.354178287999990071e-01
1.190000000000000391e+00,5.940570831799999496e+01,4.992079057042000159e+02,-2.273049457999599954e-01
1.200000000000000178e+00,5.990221144399998821e+01,4.992132359121999912e+02,-2.212132607999879874e-01
1.209999999999999964e+00,6.041423367999999527e+01,4.992274474082000211e+02,-2.201494898000120048e-01
1.219999999999999751e+00,6.092637080000000083e+01,4.992396480561999965e+02,-2.230786247999989869e-01
1.230000000000000426e+00,6.144346993799999268e+01,4.992351115001999915e+02,-2.239475927999750038e-01
1.240000000000000213e+00,6.195603318999999942e+01,4.992223030051999899e+02,-2.247883858000080115e-01
1.250000000000000000e+00,6.246742707399999972e+01,4.992124326151999867e+02,-2.256398047999839951e-01
1.259999999999999787e+00,6.296339136200001008e+01,4.992096624321999911e+02,-2.355197647999749955e-01
1.270000000000000462e+00,6.345442122200000767e+01,4.992056018302000098e+02,-2.473962827999749980e-01
1.280000000000000249e+00,6.394256795799998372e+01,4.991994052471999908e+02,-2.502658477999620268e-01
1.290000000000000036e+00,6.443476474400000598e+01,4.991924453482000104e+02,-2.511318057999940012e-01
1.299999999999999822e+00,6.492824378399998864e+01,4.991805682482000179e+02,-2.469800977999750125e-01
1.309999999999999609e+00,6.542483016599999246e+01,4.991668936332000044e+02,-2.348213047999750114e-01
1.320000000000000284e+00,6.592301541999998449e+01,4.991603039522000245e+02,-2.276871847999699938e-01
1.330000000000000071e+00,6.642573678200000131e+01,4.991619826822000050e+02,-2.215812337999990000e-01
1.339999999999999858e+00,6.692201213799998527e+01,4.991713028341999916e+02,-2.165036828000020119e-01
1.349999999999999645e+00,6.742388052799998377e+01,4.991879253321999954e+02,-2.194507027999889892e-01
1.360000000000000320e+00,6.793738830600000256e+01,4.992112079141999743e+02,-2.264186567999930122e-01
1.370000000000000107e+00,6.844336418800000388e+01,4.992260616721999895e+02,-2.293585227999800080e-01
1.379999999999999893e+00,6.895290583799999240e+01,4.992310921632000031e+02,-2.352629578000089983e-01
1.389999999999999680e+00,6.946484300000000189e+01,4.992292516041999875e+02,-2.401426118000029863e-01
1.400000000000000355e+00,6.996953236799998876e+01,4.992140044931999796e+02,-2.369765267999610070e-01
1.410000000000000142e+00,7.047011491000000660e+01,4.992005155382000225e+02,-2.368175777999609877e-01
1.419999999999999929e+00,7.096542037000000391e+01,4.991917369561999749e+02,-2.356764147999849957e-01
1.429999999999999716e+00,7.144352348199998914e+01,4.991860146152000084e+02,-2.255498027999930100e-01
1.440000000000000391e+00,7.193503562600000123e+01,4.991910457161999943e+02,-2.234581987999849917e-01
1.450000000000000178e+00,7.242783046799999624e+01,4.991911525602000097e+02,-2.183489167999889957e-01
1.459999999999999964e+00,7.292259109599999078e+01,4.991743688431999999e+02,-2.061795607999880042e-01
1.469999999999999751e+00,7.343098874800000431e+01,4.991643450962000088e+02,-2.020310727999700129e-01
1.480000000000000426e+00,7.394275380599998471e+01,4.991655172811999819e+02,-2.019213617999690014e-01
1.490000000000000213e+00,7.444718781399998875e+01,4.991722877372000085e+02,-1.998330197999589886e-01
1.500000000000000000e+00,7.495099595400000680e+01,4.991900226011999848e+02,-2.027835328000019977e-01
1.509999999999999787e+00,7.545634463600001141e+01,4.992158619351999960e+02,-2.047622898000109881e-01
1.520000000000000462e+00,7.595698799199999485e+01,4.992363997382000207e+02,-2.137234347999699968e-01
1.530000000000000249e+00,7.646270669599999792e+01,4.992382141851999791e+02,-2.176173607999890014e-01
1.540000000000000036e+00,7.695125130799999624e+01,4.992250466662000008e+02,-2.154622107999779879e-01
1.549999999999999822e+00,7.745288944399999309e+01,4.992106128141999761e+02,-2.162996998000130122e-01
1.559999999999999609e+00,7.795529862800000842e+01,4.992002188491999846e+02,-2.201512897999740037e-01
1.570000000000000284e+00,7.844800573199998439e+01,4.991843159741999898e+02,-2.089855048000079929e-01
1.580000000000000071e+00,7.893298390999999015e+01,4.991809823062000078e+02,-2.008658037999689894e-01
1.589999999999999858e+00,7.942392784999998412e+01,4.991959688631999938e+02,-2.068095017999979912e-01
1.599999999999999645e+00,7.992359798000001092e+01,4.991984608522000144e+02,-2.047071247999880106e-01
1.610000000000000320e+00,8.042934227599999986e+01,4.991822794281999904e+02,-1.995374957999919985e-01
1.620000000000000107e+00,8.095782317999999123e+01,4.991713707011999759e+02,-2.033814698000120103e-01
1.629999999999999893e+00,8.147358350999999743e+01,4.991727426581999794e+02,-2.112716267999930064e-01
1.639999999999999680e+00,8.198606283999998823e+01,4.991789495702000181e+02,-2.151795458000130001e-01
1.650000000000000355e+00,8.248647775999998544e+01,4.992034879011999919e+02,-2.221548427999600062e-01
1.660000000000000142e+00,8.297744999799999732e+01,4.992355213531999993e+02,-2.231586447999940048e-01
1.669999999999999929e+00,8.346848012199998834e+01,4.992665423252000210e+02,-2.281588877999879972e-01
1.679999999999999716e+00,8.396715232200000401e+01,4.992689702591999890e+02,-2.280565197999890048e-01
1.690000000000000391e+00,8.445637824599998567e+01,4.992438646602000176e+02,-2.138590217999800092e-01
1.700000000000000178e+00,8.494326720999998770e+01,4.992246070471999815e+02,-2.076827278000079879e-01
1.709999999999999964e+00,8.543329692000000364e+01,4.992205176702000244e+02,-2.115593147999700052e-01
1.719999999999999751e+00,8.591593924800000082e+01,4.992230143482000244e+02,-2.164607877999639995e-01
1.730000000000000426e+00,8.641412605599998642e+01,4.992163999712000191e+02,-2.163266257999650055e-01
1.740000000000000213e+00,8.691431027799998787e+01,4.992098890081999798e+02,-2.191924038000080122e-01
1.750000000000000000e+00,8.742299469599998929e+01,4.991948451971999816e+02,-2.230261927999689919e-01
1.759999999999999787e+00,8.793695619600001123e+01,4.991750910132000172e+02,-2.278421957999650083e-01
1.770000000000000462e+00,8.846255641799999125e+01,4.991620074972000225e+02,-2.336791507999949891e-01
1.780000000000000249e+00,8.896844544999999016e+01,4.991608374241999968e+02,-2.345624897999699920e-01
1.790000000000000036e+00,8.946791966000000684e+01,4.991843098041999838e+02,-2.445342547999609928e-01
1.799999999999999822e+00,8.997064728000000855e+01,4.992209748522000154e+02,-2.585518667999719966e-01
1.809999999999999609e+00,9.046680908400000476e+01,4.992322846842000104e+02,-2.554813737999849788e-01
1.819999999999999396e+00,9.097466256999999246e+01,4.992142452182000056e+02,-2.433046747999849935e-01
1.829999999999999183e+00,9.147823956799999223e+01,4.992009378441999843e+02,-2.401456807999990117e-01
1.840000000000000746e+00,9.198469791400000872e+01,4.991897946752000053e+02,-2.379936877999900002e-01
1.850000000000000533e+00,9.248177257399999007e+01,4.991851165072000072e+02,-2.388666107999659893e-01
1.860000000000000320e+00,9.297656527399999504e+01,4.991853197091999732e+02,-2.387572567999650119e-01
1.870000000000000107e+00,9.345724026199999912e+01,4.992047316442000238e+02,-2.437188457999620028e-01
1.879999999999999893e+00,9.395109828799999718e+01,4.992388587411999765e+02,-2.657295288000089961e-01
1.889999999999999680e+00,9.445613456999998903e+01,4.992526289081999948e+02,-2.766658327999769740e-01
1.899999999999999467e+00,9.495611594799999011e+01,4.992321226021999792e+02,-2.684822077999959866e-01
