width_LLS_A,Weights,error_LLS_A
6.066503685399050383e+00,1.005977848319479895e+00,-2.834963146009492618e-01
6.108661563106849712e+00,1.006796407978929997e+00,-2.413384368931499324e-01
6.034197315163400077e+00,9.933314587333329504e-01,-3.158026848365995676e-01
6.116131947041259842e+00,1.001189951317899895e+00,-2.338680529587398027e-01
6.091010117740659702e+00,1.011319336453829987e+00,-2.589898822593399430e-01
6.091558680705990270e+00,1.004850822340350058e+00,-2.584413192940093751e-01
6.010332972336679624e+00,9.919185917672299624e-01,-3.396670276633200203e-01
6.154542489924589965e+00,9.920300773354500112e-01,-1.954575100754096795e-01
6.120411741946339745e+00,1.001979929408699954e+00,-2.295882580536598994e-01
6.094244886811090112e+00,1.004525147226400072e+00,-2.557551131889095331e-01
5.974657294845440170e+00,1.000610725684379920e+00,-3.753427051545594750e-01
6.110757265965239604e+00,9.952889570138799824e-01,-2.392427340347600406e-01
6.084632061153749660e+00,1.000555751381589920e+00,-2.653679388462499844e-01
6.196280417594899781e+00,1.008311883566600065e+00,-1.537195824050998638e-01
6.118450473644990062e+00,1.000867691483730004e+00,-2.315495263550095828e-01
6.046571741756060270e+00,9.991242969890300474e-01,-3.034282582439393749e-01
6.099873587429019750e+00,9.985768131232219957e-01,-2.501264125709798947e-01
6.126057312468420335e+00,9.875120185449010046e-01,-2.239426875315793097e-01
6.108972344964000101e+00,1.000235908033189958e+00,-2.410276550359995440e-01
6.109002688646180346e+00,1.003616954698709929e+00,-2.409973113538192990e-01
6.039571710649240366e+00,9.883403383521309760e-01,-3.104282893507592789e-01
6.137183970496150387e+00,9.908046729597600466e-01,-2.128160295038492578e-01
6.062679121455249565e+00,1.005847412262000029e+00,-2.873208785447500802e-01
6.022821646485669866e+00,1.015487339256990085e+00,-3.271783535143297783e-01
6.061150498543299570e+00,1.000130589155449945e+00,-2.888495014567000752e-01
6.082523878773369752e+00,9.987848888216990240e-01,-2.674761212266298926e-01
6.087810133456759587e+00,9.977224652820110284e-01,-2.621898665432400577e-01
6.130450939452320114e+00,9.999177363127359497e-01,-2.195490605476795309e-01
6.033995634178279666e+00,1.000959329827979971e+00,-3.160043658217199791e-01
6.039407938820559707e+00,9.935761491203449758e-01,-3.105920611794399377e-01
6.073354360395369689e+00,9.922531205513499541e-01,-2.766456396046299560e-01
5.946013200773830221e+00,1.000623140423640089e+00,-4.039867992261694241e-01
6.119799445650690117e+00,1.008145359499369897e+00,-2.302005543493095274e-01
6.156609410157299678e+00,1.006824181683779962e+00,-1.933905898426999670e-01
6.116662342616900006e+00,1.005371296734320019e+00,-2.333376573830996392e-01
6.130349943944549906e+00,9.999629749778710108e-01,-2.196500560554497383e-01
6.123279525778030141e+00,1.001866779577849975e+00,-2.267204742219695035e-01
6.102159063006980411e+00,1.002042963098110029e+00,-2.478409369930192341e-01
6.167668368429089831e+00,1.000775865063969983e+00,-1.823316315709098134e-01
6.080604069547099755e+00,9.934971822755059856e-01,-2.693959304528998899e-01
6.031589293292809906e+00,9.986086288333410055e-01,-3.184107067071897390e-01
6.068975762967330212e+00,1.006882988541069945e+00,-2.810242370326694328e-01
6.125252121722399856e+00,9.976136732514400141e-01,-2.247478782775997885e-01
6.122154574678630112e+00,9.942844219243169857e-01,-2.278454253213695324e-01
6.157587002032699708e+00,1.004958681857039959e+00,-1.924129979672999369e-01
6.101154865612329559e+00,1.005954757228439966e+00,-2.488451343876700861e-01
6.084554257738550298e+00,9.948468686451870102e-01,-2.654457422614493467e-01
6.033722437309729791e+00,9.955090375625139654e-01,-3.162775626902698534e-01
6.131932273747289663e+00,9.942480030452359729e-01,-2.180677262527099813e-01
6.192254928604129738e+00,9.922002483159589881e-01,-1.577450713958699069e-01
6.154764784698730118e+00,1.002635367991209892e+00,-1.952352153012695268e-01
6.112141261996150376e+00,1.003515907001750085e+00,-2.378587380038492682e-01
