center_CAM,Weights,error_CAM
1.433753999999999862e-01,0.000000000000000000e+00,1.433753999999999862e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.433753999999999862e-01,0.000000000000000000e+00,1.433753999999999862e-01
1.593060000000000032e-01,0.000000000000000000e+00,1.593060000000000032e-01
1.433753999999999862e-01,0.000000000000000000e+00,1.433753999999999862e-01
1.433753999999999862e-01,0.000000000000000000e+00,1.433753999999999862e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.354101000000000055e-01,0.000000000000000000e+00,1.354101000000000055e-01
1.354101000000000055e-01,0.000000000000000000e+00,1.354101000000000055e-01
1.354101000000000055e-01,0.000000000000000000e+00,1.354101000000000055e-01
1.115141999999999939e-01,0.000000000000000000e+00,1.115141999999999939e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.433753999999999862e-01,0.000000000000000000e+00,1.433753999999999862e-01
1.354101000000000055e-01,0.000000000000000000e+00,1.354101000000000055e-01
1.194795000000000024e-01,0.000000000000000000e+00,1.194795000000000024e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.115141999999999939e-01,0.000000000000000000e+00,1.115141999999999939e-01
1.115141999999999939e-01,0.000000000000000000e+00,1.115141999999999939e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.194795000000000024e-01,0.000000000000000000e+00,1.194795000000000024e-01
1.194795000000000024e-01,0.000000000000000000e+00,1.194795000000000024e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.194795000000000024e-01,0.000000000000000000e+00,1.194795000000000024e-01
1.115141999999999939e-01,0.000000000000000000e+00,1.115141999999999939e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.194795000000000024e-01,0.000000000000000000e+00,1.194795000000000024e-01
1.194795000000000024e-01,0.000000000000000000e+00,1.194795000000000024e-01
1.115141999999999939e-01,0.000000000000000000e+00,1.115141999999999939e-01
1.115141999999999939e-01,0.000000000000000000e+00,1.115141999999999939e-01
8.761829999999999619e-02,0.000000000000000000e+00,8.761829999999999619e-02
4.779180000000000234e-02,0.000000000000000000e+00,4.779180000000000234e-02
1.593059999999999962e-02,4.244996267999000261e-02,1.593059999999999962e-02
2.389590000000000117e-02,6.254125472762779581e-02,2.389590000000000117e-02
6.372239999999999849e-02,7.392241248006689580e-02,6.372239999999999849e-02
5.575709999999999694e-02,1.125858136604429988e-01,5.575709999999999694e-02
1.593059999999999962e-02,1.499312548914560062e-01,1.593059999999999962e-02
-7.965299999999999811e-03,1.823651764062119984e-01,-7.965299999999999811e-03
6.372239999999999849e-02,2.064077867058249915e-01,6.372239999999999849e-02
7.965300000000000158e-02,2.565342381726070098e-01,7.965300000000000158e-02
7.965300000000000158e-02,3.144400533645799745e-01,7.965300000000000158e-02
1.513406999999999947e-01,3.501118167818190186e-01,1.513406999999999947e-01
2.070977999999999986e-01,3.869786571993270030e-01,2.070977999999999986e-01
2.947160999999999809e-01,4.373905087468429875e-01,2.947160999999999809e-01
1.911672000000000093e-01,4.908900199097909756e-01,1.911672000000000093e-01
1.991324999999999901e-01,5.482387580903249624e-01,1.991324999999999901e-01
2.150631000000000070e-01,6.275087684959540502e-01,2.150631000000000070e-01
1.672713000000000116e-01,6.877308439065290546e-01,1.672713000000000116e-01
1.035488999999999993e-01,7.096600165380370084e-01,1.035488999999999993e-01
0.000000000000000000e+00,7.265458903916830469e-01,0.000000000000000000e+00
8.761829999999999619e-02,7.777109007189390022e-01,8.761829999999999619e-02
