width_LLS_B,Weights,error_LLS_B
5.837709311022609704e+00,1.007215981006919892e+00,-5.122906889773899408e-01
5.855399217815979718e+00,1.003838357473890053e+00,-4.946007821840199270e-01
5.839036221843469932e+00,9.958192714221469899e-01,-5.109637781565297132e-01
5.886688033181309621e+00,9.965697733276710490e-01,-4.633119668186900242e-01
5.913845533999009696e+00,1.004187889667990108e+00,-4.361544660009899488e-01
5.927339369396690039e+00,1.000184878876269945e+00,-4.226606306033096061e-01
5.914177288516129671e+00,1.003262666640329925e+00,-4.358227114838699734e-01
5.949962184753779582e+00,1.001551281839369922e+00,-4.000378152462200632e-01
5.938825220529730053e+00,9.967477702251460459e-01,-4.111747794702695913e-01
5.927214860286410314e+00,9.987472426100529876e-01,-4.227851397135893308e-01
5.938273991657839979e+00,1.005368704912029898e+00,-4.117260083421596661e-01
5.962089985902590428e+00,1.001706154817940009e+00,-3.879100140974092170e-01
5.947593210702960320e+00,9.996873236171680555e-01,-4.024067892970393245e-01
5.937358419364620055e+00,9.970881916041079984e-01,-4.126415806353795901e-01
5.908915298089829626e+00,9.989455775681980176e-01,-4.410847019101700184e-01
5.958822450786730229e+00,1.002950600685200033e+00,-3.911775492132694154e-01
5.962395659464410080e+00,9.980581086588999895e-01,-3.876043405355895644e-01
5.959890099657879858e+00,9.978910612444780170e-01,-3.901099003421197864e-01
5.944775184983869920e+00,9.998800704246020299e-01,-4.052248150161297247e-01
5.933859620853869643e+00,1.004915107597200041e+00,-4.161403791461300017e-01
5.907897934121749906e+00,9.989281670831580140e-01,-4.421020658782497392e-01
5.868835063281300002e+00,9.965076428084399529e-01,-4.811649367186996429e-01
5.833037287725839626e+00,9.983182558632830439e-01,-5.169627122741600189e-01
5.832857275812600051e+00,1.004553202084049968e+00,-5.171427241873995939e-01
5.767832608528090432e+00,1.007572423065490108e+00,-5.821673914719092124e-01
5.783203956285819736e+00,1.000031000289719918e+00,-5.667960437141799090e-01
5.772268358279959877e+00,1.000564186699989921e+00,-5.777316417200397680e-01
5.707876049810470143e+00,1.005926985952809938e+00,-6.421239501895295021e-01
5.718756245898229729e+00,1.004052562381759994e+00,-6.312437541017699161e-01
5.694243584533420055e+00,1.003089147635509937e+00,-6.557564154665795897e-01
5.703441943247949730e+00,9.970611906431320337e-01,-6.465580567520499145e-01
5.729754794055329725e+00,1.004067886396659892e+00,-6.202452059446699195e-01
5.755642535807799831e+00,9.956330888871920415e-01,-5.943574641921998136e-01
5.719839595653009923e+00,1.002744880901609958e+00,-6.301604043469897221e-01
5.679777900587310135e+00,1.007998553383639972e+00,-6.702220994126895093e-01
5.664564943576870348e+00,1.000327826481369975e+00,-6.854350564231292964e-01
5.689494353631089574e+00,1.003396259453650075e+00,-6.605056463689100710e-01
5.678226219516090190e+00,9.939434731772249787e-01,-6.717737804839094551e-01
5.639132291407960018e+00,9.993499365876179485e-01,-7.108677085920396266e-01
5.641152010006470263e+00,9.963344639490490096e-01,-7.088479899935293815e-01
5.678952368174959631e+00,1.001417052506690109e+00,-6.710476318250400141e-01
5.738888829730020014e+00,1.009869043751919993e+00,-6.111111702699796311e-01
5.718096973644289704e+00,9.979502998492489896e-01,-6.319030263557099403e-01
5.714662282235059898e+00,1.004465057716710019e+00,-6.353377177649397467e-01
5.717156723407190277e+00,9.922315511331799565e-01,-6.328432765928093673e-01
