Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,Gap,Gap_Rotated
2023-07-26 15:42:23.856,5242100,5242550,14.1573328857422,14.1613328857422,16.1204197184245,16.1244197998047,3.492,9.938,6.446,6.4470436635717
2023-07-26 15:42:23.864,5242102,5242552,14.1660287272135,14.1700287679036,16.1291158040365,16.1331158447266,3.48,9.937,6.457,6.45797127587294
2023-07-26 15:42:23.877,5242104,5242554,14.1747247721354,14.1787248535156,16.1378118489583,16.1418118896484,3.517,9.964,6.447,6.4477600761815
2023-07-26 15:42:23.887,5242107,5242557,14.1877688802083,14.1917689208984,16.1508559570312,16.1548559977214,3.491,9.962,6.471,6.47200409455989
2023-07-26 15:42:23.900,5242109,5242559,14.1964649251302,14.2004649658203,16.1595516764323,16.1635517171224,3.441,9.925,6.484,6.48486638258646
2023-07-26 15:42:23.912,5242112,5242562,14.2095086669922,14.2135087483724,16.1725957438151,16.1765958251953,3.454,9.926,6.472,6.47303947153113
2023-07-26 15:42:23.921,5242115,5242565,14.2225527750651,14.2265528157552,16.185639851888,16.1896398925781,3.416,9.884,6.468,6.4698330735808
2023-07-26 15:42:23.934,5242117,5242567,14.231248819987,14.2352489013672,16.1943358968099,16.1983359375,3.39,9.861,6.471,6.47203963214071
2023-07-26 15:42:23.943,5242120,5242570,14.2442929280599,14.24829296875,16.2073796386719,16.2113797200521,3.402,9.874,6.472,6.47291781192995
2023-07-26 15:42:23.956,5242122,5242572,14.2529889729818,14.2569890136719,16.2160757242839,16.220075764974,3.479,9.912,6.433,6.43377719539619
2023-07-26 15:42:23.965,5242125,5242575,14.2660327148437,14.270032796224,16.2291197916667,16.2331198730469,3.53,9.95,6.42,6.42104788955822
2023-07-26 15:42:23.973,5242127,5242577,14.2747288004557,14.2787288411458,16.2378158772786,16.2418159179688,3.466,9.899,6.433,6.43390651159931
2023-07-26 15:42:23.986,5242129,5242579,14.2834248453776,14.2874248860677,16.2465119222005,16.2505119628906,3.492,9.902,6.41,6.41090976383228
2023-07-26 15:42:23.995,5242132,5242582,14.2964689534505,14.3004689941406,16.2595556640625,16.2635557454427,3.53,9.949,6.419,6.42004805277967
2023-07-26 15:42:24.008,5242134,5242584,14.3051649169922,14.3091649169922,16.2682517496745,16.2722517903646,3.517,9.924,6.407,6.40835961849833
2023-07-26 15:42:24.017,5242137,5242587,14.3182087402344,14.3222088216146,16.2812958170573,16.2852958577474,3.504,9.912,6.408,6.40914229831106
2023-07-26 15:42:24.030,5242139,5242589,14.3269048258464,14.3309048665365,16.2899918619792,16.2939919433594,3.517,9.922,6.405,6.40657388937332
2023-07-26 15:42:24.039,5242142,5242592,14.3399488932292,14.3439489339193,16.3030358886719,16.3070358886719,3.554,9.946,6.392,6.39351116367212
2023-07-26 15:42:24.052,5242144,5242594,14.348644938151,14.3526450195313,16.3117316894531,16.3157317301432,3.529,9.908,6.379,6.38005462359062
2023-07-26 15:42:24.061,5242147,5242597,14.3616887207031,14.3656887613932,16.324775797526,16.3287758382161,3.529,9.894,6.365,6.36620774087682
2023-07-26 15:42:24.074,5242149,5242599,14.370384765625,14.3743848063151,16.3334718424479,16.337471883138,3.566,9.955,6.389,6.39026212294926
2023-07-26 15:42:24.083,5242152,5242602,14.3834288736979,14.387428914388,16.3465159098307,16.3505159912109,3.554,9.919,6.365,6.36653948389547
2023-07-26 15:42:24.096,5242154,5242604,14.3921353352865,14.3961353759766,16.3552116699219,16.359211710612,3.529,9.908,6.379,6.37991418437584
2023-07-26 15:42:24.104,5242157,5242607,14.4051688232422,14.4091688232422,16.3682557373047,16.3722557779948,3.504,9.897,6.393,6.39444641857292
2023-07-26 15:42:24.117,5242159,5242609,14.4138647460938,14.4178647867839,16.3769517822266,16.3809518636068,3.492,9.896,6.404,6.40594879779725
2023-07-26 15:42:24.126,5242162,5242612,14.4269088134766,14.4309088541667,16.3899958902995,16.3939959309896,3.503,9.897,6.394,6.39512595653909
2023-07-26 15:42:24.139,5242164,5242614,14.4356048583984,14.4396049397786,16.3986919352214,16.4026920166016,3.491,9.859,6.368,6.36913055290909
2023-07-26 15:42:24.147,5242167,5242617,14.4486489664714,14.4526490071615,16.4117357177734,16.4157357584635,3.516,9.872,6.356,6.35709524861788
2023-07-26 15:42:24.160,5242169,5242619,14.4573446858724,14.4613447265625,16.4204317626953,16.4244318033854,3.503,9.881,6.378,6.37907305178425
2023-07-26 15:42:24.169,5242172,5242622,14.4703887939453,14.4743888346354,16.4334758300781,16.4374759114583,3.464,9.869,6.405,6.40599672182245
2023-07-26 15:42:24.182,5242174,5242624,14.4790848388672,14.4830848795573,16.4421719156901,16.4461719563802,3.478,9.87,6.392,6.39330157274002
2023-07-26 15:42:24.191,5242177,5242627,14.49212890625,14.4961289876302,16.4552156575521,16.4592156982422,3.439,9.841,6.402,6.40342322511952
2023-07-26 15:42:24.204,5242179,5242629,14.500824991862,14.5048250325521,16.463911702474,16.4679117838542,3.464,9.856,6.392,6.3929811512314
2023-07-26 15:42:24.212,5242182,5242632,14.513868733724,14.5178687744141,16.4769558105469,16.480955851237,3.451,9.856,6.405,6.40567514006135
2023-07-26 15:42:24.225,5242184,5242634,14.5225647786458,14.526564860026,16.4856518554687,16.489651936849,3.44,9.832,6.392,6.39320264030478
2023-07-26 15:42:24.234,5242187,5242637,14.5356088867188,14.5396089274089,16.4986959635417,16.5026960042318,3.491,9.897,6.406,6.40712384771826
