Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
149,26.07.2023 15:37:12.110,-78.680307327,187.0317484122,24.0416948502
150,26.07.2023 15:37:12.120,-78.680307327,187.0317484122,24.0416948502
151,26.07.2023 15:37:12.130,-78.680250329,187.0307500442,24.0416983852
152,26.07.2023 15:37:12.140,-78.680193553,187.0297552042,24.0427019142
153,26.07.2023 15:37:12.150,-78.6811919269999,187.0296982052,24.0427018932
154,26.07.2023 15:37:12.160,-78.681248703,187.0306930452,24.0416983642
155,26.07.2023 15:37:12.170,-78.6822470769999,187.0306360462,24.0416983432
156,26.07.2023 15:37:12.180,-78.680136555,187.0287568362,24.0427054492
157,26.07.2023 15:37:12.190,-78.680250329,187.0307500442,24.0416983852
158,26.07.2023 15:37:12.200,-78.679365729,187.0328002512,24.0406913422
159,26.07.2023 15:37:12.210,-78.679365729,187.0328002512,24.0406913422
160,26.07.2023 15:37:12.220,-78.680307327,187.0317484122,24.0416948502
161,26.07.2023 15:37:12.230,-78.681248703,187.0306930452,24.0416983642
162,26.07.2023 15:37:12.240,-78.680250551,187.0307535722,24.0426983792
163,26.07.2023 15:37:12.250,-78.680307549,187.0317519402,24.0426948442
164,26.07.2023 15:37:12.260,-78.680250773,187.0307571002,24.0436983732
165,26.07.2023 15:37:12.270,-78.6811919269999,187.0296982052,24.0427018932
166,26.07.2023 15:37:12.280,-78.6812489249999,187.0306965732,24.0426983582
167,26.07.2023 15:37:12.290,-78.680250329,187.0307500442,24.0416983852
168,26.07.2023 15:37:12.300,-78.679195179,187.0298122032,24.0427019352
169,26.07.2023 15:37:12.310,-78.679251955,187.0308070432,24.0416984062
170,26.07.2023 15:37:12.320,-78.678367799,187.0328643062,24.0426913512
171,26.07.2023 15:37:12.330,-78.679366173,187.0328073072,24.0426913302
172,26.07.2023 15:37:12.340,-78.680250995,187.0307606282,24.0446983672
173,26.07.2023 15:37:12.350,-78.679252621,187.0308176272,24.0446983882
174,26.07.2023 15:37:12.360,-78.680307771,187.0317554682,24.0436948382
175,26.07.2023 15:37:12.370,-78.680307993,187.0317589962,24.0446948322
176,26.07.2023 15:37:12.380,-78.680250995,187.0307606282,24.0446983672
177,26.07.2023 15:37:12.390,-78.6811921489999,187.0297017332,24.0437018872
178,26.07.2023 15:37:12.400,-78.6812491469999,187.0307001012,24.0436983522
179,26.07.2023 15:37:12.410,-78.680250329,187.0307500442,24.0416983852
180,26.07.2023 15:37:12.420,-78.679252177,187.0308105712,24.0426984002
181,26.07.2023 15:37:12.430,-78.679309397,187.0318124672,24.0436948592
182,26.07.2023 15:37:12.440,-78.680307771,187.0317554682,24.0436948382
183,26.07.2023 15:37:12.450,-78.680307993,187.0317589962,24.0446948322
184,26.07.2023 15:37:12.460,-78.680250995,187.0307606282,24.0446983672
185,26.07.2023 15:37:12.470,-78.680250995,187.0307606282,24.0446983672
186,26.07.2023 15:37:12.480,-78.681306145,187.0316984692,24.0436948172
187,26.07.2023 15:37:12.490,-78.680307771,187.0317554682,24.0436948382
188,26.07.2023 15:37:12.500,-78.6801937749999,187.0297587322,24.0437019082
189,26.07.2023 15:37:12.510,-78.6811921489999,187.0297017332,24.0437018872
190,26.07.2023 15:37:12.520,-78.6812491469999,187.0307001012,24.0436983522
191,26.07.2023 15:37:12.530,-78.6812489249999,187.0306965732,24.0426983582
192,26.07.2023 15:37:12.540,-78.6812493689999,187.0307036292,24.0446983462
193,26.07.2023 15:37:12.550,-78.679309397,187.0318124672,24.0436948592
194,26.07.2023 15:37:12.560,-78.679309397,187.0318124672,24.0436948592
195,26.07.2023 15:37:12.570,-78.679309175,187.0318089392,24.0426948652
196,26.07.2023 15:37:12.580,-78.6761993909999,187.0299726162,24.0397020162
197,26.07.2023 15:37:12.590,-78.668923785,187.0253480172,24.0307198922
198,26.07.2023 15:37:12.600,-78.646043815,187.0105681312,24.0137770162
199,26.07.2023 15:37:12.610,-78.595948613,186.9752496752,23.9809125522
200,26.07.2023 15:37:12.620,-78.5208918829999,186.9062358122,23.9301724042
201,26.07.2023 15:37:12.630,-78.421045507,186.8065357582,23.8655459432
202,26.07.2023 15:37:12.640,-78.3012020629999,186.6899163092,23.7919835652
203,26.07.2023 15:37:12.650,-78.194508919,186.5755580332,23.7204102972
204,26.07.2023 15:37:12.660,-78.114769611,186.4947106062,23.6467127912
205,26.07.2023 15:37:12.670,-78.0032501789999,186.4537179612,23.5668817052
206,26.07.2023 15:37:12.680,-77.856132825,186.4207921842,23.4940301232
207,26.07.2023 15:37:12.690,-77.6768428409999,186.3857498232,23.4361932632
208,26.07.2023 15:37:12.700,-77.456615485,186.3880660192,23.3682336412
209,26.07.2023 15:37:12.710,-77.190913095,186.4359844872,23.2821231302
210,26.07.2023 15:37:12.720,-76.891380207,186.4878411852,23.1970062572
211,26.07.2023 15:37:12.730,-76.5191655309999,186.5298105472,23.1079404102
212,26.07.2023 15:37:12.740,-76.125779493,186.5869298952,22.9958256732
213,26.07.2023 15:37:12.750,-75.737609765,186.6477012722,22.8676967872
214,26.07.2023 15:37:12.760,-75.357282557,186.6879464342,22.7266384902
215,26.07.2023 15:37:12.770,-74.9736781649999,186.6883315152,22.5907215842
216,26.07.2023 15:37:12.780,-74.593699689,186.6645025212,22.4638893592
217,26.07.2023 15:37:12.790,-74.194034505,186.6467383152,22.3180399932
218,26.07.2023 15:37:12.800,-73.777994131,186.6228622372,22.1622157682
219,26.07.2023 15:37:12.810,-73.361303629,186.5700470482,22.0264939172
220,26.07.2023 15:37:12.820,-72.953826485,186.5207123402,21.8907577372
221,26.07.2023 15:37:12.830,-72.530824417,186.5152522942,21.7318700682
222,26.07.2023 15:37:12.840,-72.073190507,186.5347855082,21.5669018862
223,26.07.2023 15:37:12.850,-71.569005081,186.5459692122,21.4049735372
224,26.07.2023 15:37:12.860,-71.044453855,186.5513149042,21.2460703352
225,26.07.2023 15:37:12.870,-70.550618639,186.5858970572,21.0700570412
226,26.07.2023 15:37:12.880,-70.041573785,186.6523305692,20.8749346332
227,26.07.2023 15:37:12.890,-69.525231285,186.6962000592,20.6958935602
228,26.07.2023 15:37:12.900,-69.024096869,186.7081934942,20.5289616432
229,26.07.2023 15:37:12.910,-68.5229602329999,186.7201516492,20.3520297862
230,26.07.2023 15:37:12.920,-68.068404521,186.7234300592,20.1721181702
231,26.07.2023 15:37:12.930,-67.619245701,186.6984222042,20.0113052732
232,26.07.2023 15:37:12.940,-67.173285513,186.6592585932,19.8645416982
233,26.07.2023 15:37:12.950,-66.727837641,186.6290697102,19.7147463262
234,26.07.2023 15:37:12.960,-66.2721470749999,186.6124619042,19.5579052722
235,26.07.2023 15:37:12.970,-65.8280077149999,186.6051966772,19.3970286612
236,26.07.2023 15:37:12.980,-65.3622450049999,186.6051579962,19.2311313322
237,26.07.2023 15:37:12.990,-64.8755168849999,186.6063233502,19.0672344322
238,26.07.2023 15:37:13.000,-64.396061485,186.6120674392,18.8993197342
239,26.07.2023 15:37:13.010,-63.897207697,186.6289210762,18.7273701302
240,26.07.2023 15:37:13.020,-63.415750845,186.6697901772,18.5463318692
241,26.07.2023 15:37:13.030,-62.934863085,186.7206288462,18.3612582822
242,26.07.2023 15:37:13.040,-62.4515555529999,186.7466217622,18.1922729952
243,26.07.2023 15:37:13.050,-61.9891624689999,186.7354224292,18.0404143832
244,26.07.2023 15:37:13.060,-61.516327885,186.7167779182,17.8805843092
245,26.07.2023 15:37:13.070,-61.0482262169999,186.7108594992,17.7137082382
246,26.07.2023 15:37:13.080,-60.600806301,186.6987663732,17.5508493772
247,26.07.2023 15:37:13.090,-60.142493563,186.6713152132,17.4010472082
248,26.07.2023 15:37:13.100,-59.6962746429999,186.6451662172,17.2482377352
249,26.07.2023 15:37:13.110,-59.235761425,186.6318102862,17.0833862292
250,26.07.2023 15:37:13.120,-58.7753305749999,186.6374450662,16.9084676392
251,26.07.2023 15:37:13.130,-58.3141297869999,186.6471373732,16.7355349182
252,26.07.2023 15:37:13.140,-57.824689315,186.6534302842,16.5616204662
253,26.07.2023 15:37:13.150,-57.3171077829999,186.6577646572,16.3907169792
