TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights
26.07.2023 13:53:52.990,688,435.233321699,349.1279094472,0.0739787272000285,-0.872090552800046,199.862840600002,0.999314203000012
26.07.2023 13:53:53.000,689,437.231950105,349.1387981552,0.0603848322000189,-0.861201844800121,199.725552799998,0.998627763999991
26.07.2023 13:53:53.010,690,439.229205633,349.1386402092,0.0608296962000188,-0.861359790800066,201.217325199997,1.00608662599998
26.07.2023 13:53:53.020,691,441.241378885,349.1403497282,0.0652713162000373,-0.859650271799978,199.622978600001,0.998114893000007
26.07.2023 13:53:53.030,692,443.237608671,349.1581588782,0.0646525562000044,-0.841841121799973,198.293519399994,0.991467596999968
26.07.2023 13:53:53.040,693,445.220543865,349.1632107942,0.0700758862000004,-0.83678920580013,200.447125000005,1.00223562500003
26.07.2023 13:53:53.050,694,447.225015115,349.1594724812,0.0745350132000193,-0.840527518800116,199.682447000004,0.998412235000018
26.07.2023 13:53:53.060,695,449.221839585,349.1493161922,0.0870151342000187,-0.850683807799896,201.317029399996,1.00658514699998
26.07.2023 13:53:53.070,696,451.235009879,349.1511038782,0.0974567392000107,-0.84889612180018,201.337225000003,1.00668612500002
26.07.2023 13:53:53.080,697,453.248382129,349.1669010192,0.100848917199996,-0.833098980799889,200.056393799997,1.00028196899999
26.07.2023 13:53:53.090,698,455.248946067,349.1789691252,0.106251415199992,-0.821030874800158,199.979400000001,0.999897000000004
26.07.2023 13:53:53.100,699,457.248740067,349.1869797042,0.109668044200034,-0.813020295799959,199.685543199996,0.998427715999981
26.07.2023 13:53:53.110,700,459.245595499,349.1938279742,0.11508813320003,-0.806172025799867,199.802635400005,0.999013177000023
26.07.2023 13:53:53.120,701,461.243621853,349.1977134432,0.11351889020002,-0.802286556800084,201.046304799996,1.00523152399998
26.07.2023 13:53:53.130,702,463.254084901,349.1942924282,0.110978185200034,-0.805707571799985,200.863729400004,1.00431864700002
26.07.2023 13:53:53.140,703,465.262722195,349.1877623112,0.108448043199992,-0.812237688800053,199.9253608,0.999626804000002
26.07.2023 13:53:53.150,704,467.261975803,349.1876971952,0.10289298520002,-0.812302804800083,200.008187599997,1.00004093799998
26.07.2023 13:53:53.160,705,469.262057679,349.1906700702,0.0933273672000288,-0.809329929800015,198.721634399999,0.993608171999995
26.07.2023 13:53:53.170,706,471.249274023,349.1909158062,0.086768528200023,-0.809084193799777,198.644529599994,0.993222647999971
26.07.2023 13:53:53.180,707,473.235719319,349.1871216552,0.0832237902000048,-0.812878344800026,199.283386000008,0.996416930000038
26.07.2023 13:53:53.190,708,475.228553179,349.1766915062,0.0827039052000291,-0.823308493800255,199.899554199999,0.999497770999994
26.07.2023 13:53:53.200,709,477.227548721,349.1636011912,0.0801947631999862,-0.836398808800141,201.046415799999,1.005232079
26.07.2023 13:53:53.210,710,479.238012879,349.1601625362,0.0726540882000051,-0.839837463800166,200.524363000005,1.00262181500003
26.07.2023 13:53:53.220,711,481.243256509,349.1604429422,0.0680991502000095,-0.839557057800221,199.631459599999,0.998157297999995
26.07.2023 13:53:53.230,712,483.239571105,349.1592225732,0.0665475401999991,-0.840777426800003,200.110561999992,1.00055280999996
26.07.2023 13:53:53.240,713,485.240676725,349.1442601042,0.0670454921999988,-0.855739895799843,200.216032600008,1.00108016300004
26.07.2023 13:53:53.250,714,487.242837051,349.1283668502,0.070546982200042,-0.871633149800005,200.207706999998,1.00103853499999
26.07.2023 13:53:53.260,715,489.244914121,349.1314784192,0.0679813641999989,-0.868521580799893,199.862640799995,0.999313203999975
26.07.2023 13:53:53.270,716,491.243540529,349.1423988792,0.0633874152000038,-0.857601120799927,200.375675600003,1.00187837800001
26.07.2023 13:53:53.280,717,493.247297285,349.1336293672,0.0728641662000182,-0.866370632799999,198.227925200007,0.991139626000034
26.07.2023 13:53:53.290,718,495.229576537,349.1326270202,0.0763086972000044,-0.867372979799939,199.814035000003,0.999070175000014
26.07.2023 13:53:53.300,719,497.227716887,349.1345157532,0.0747465241999952,-0.865484246800065,198.084981999989,0.990424909999945
26.07.2023 13:53:53.310,720,499.208566707,349.1234580642,0.0902262912000376,-0.876541935799878,198.438933,0.992194665
26.07.2023 13:53:53.320,721,501.192956037,349.1205835632,0.0966779162000093,-0.879416436799886,199.585905599997,0.997929527999986
26.07.2023 13:53:53.330,722,503.188815093,349.1273430822,0.0930980381999902,-0.872656917799873,198.310862999995,0.991554314999973
26.07.2023 13:53:53.340,723,505.171923723,349.1293610862,0.0875320392000196,-0.870638913800121,199.394512000009,0.996972560000046
26.07.2023 13:53:53.350,724,507.165868843,349.1170088402,0.0920192152000379,-0.882991159799985,200.387252799993,1.00193626399997
26.07.2023 13:53:53.360,725,509.169741371,349.1062143682,0.093503084200014,-0.893785631799915,200.447236000014,1.00223618000007
26.07.2023 13:53:53.370,726,511.174213731,349.1024584152,0.0929622412000375,-0.897541584799853,201.200358999978,1.00600179499989
26.07.2023 13:53:53.380,727,513.186217321,349.1071418702,0.0913932922000282,-0.892858129799947,201.222958400012,1.00611479200006
26.07.2023 13:53:53.390,728,515.198446905,349.1078636052,0.0988384292000335,-0.892136394800048,200.894969400008,1.00447484700004
26.07.2023 13:53:53.400,729,517.207396599,349.1134026552,0.105265834200005,-0.886597344799952,200.056482599985,1.00028241299992
26.07.2023 13:53:53.410,730,519.207961425,349.1254566492,0.106668356200039,-0.874543350800252,199.976326000001,0.999881630000004
26.07.2023 13:53:53.420,731,521.207724685,349.1164591412,0.116145023199996,-0.883540858799904,198.872525800016,0.994362629000079
26.07.2023 13:53:53.430,732,523.196449943,349.1078153722,0.120617954200016,-0.892184627800077,199.702864599988,0.998514322999938
26.07.2023 13:53:53.440,733,525.193478589,349.1116332582,0.116048708200019,-0.888366741799814,201.710990000004,1.00855495000002
26.07.2023 13:53:53.450,734,527.210588489,349.1145979162,0.1124869462,-0.885402083799931,199.526077799999,0.997630388999994
26.07.2023 13:53:53.460,735,529.205849267,349.1142942202,0.103931822199986,-0.885705779799878,201.035171600006,1.00517585800003
26.07.2023 13:53:53.470,736,531.216200983,349.1128276052,0.0893841191999993,-0.887172394799961,199.711345599997,0.998556727999983
26.07.2023 13:53:53.480,737,533.213314439,349.0976159722,0.0838820232000272,-0.902384027799826,198.330566000004,0.991652830000021
26.07.2023 13:53:53.490,738,535.196620099,349.0786359452,0.0853901962000041,-0.921364054799881,199.685809599998,0.998429047999991
26.07.2023 13:53:53.500,739,537.193478195,349.0854418792,0.0788103571999987,-0.914558120799825,202.02493139999,1.01012465699995
26.07.2023 13:53:53.510,740,539.213727509,349.1035959412,0.0711956782000183,-0.896404058800101,200.401482200016,1.00200741100008
26.07.2023 13:53:53.520,741,541.217742331,349.1078516282,0.0776265131999905,-0.892148371800204,200.329966200002,1.00164983100001
