Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1
2023-07-26 13:22:19.138,3312763,3313215,69.1909696858724,69.1949697265625,71.1586999511719,71.1626999511719,-4.534,1.467,6.001,5.96431964918373
2023-07-26 13:22:19.151,3312765,3313217,69.1996657307943,69.2036658121745,71.1673956705729,71.1714061686198,-4.558,1.455,6.013,5.972916659027
2023-07-26 13:22:19.160,3312768,3313220,69.2127098388672,69.2167098795573,71.1804397786458,71.1844398193359,-4.556,1.518,6.074,6.03862084304166
2023-07-26 13:22:19.169,3312770,3313222,69.2214058837891,69.2254059651693,71.1891358235677,71.1931359049479,-4.515,1.429,5.944,5.91558019770128
2023-07-26 13:22:19.181,3312772,3313224,69.230101969401,69.2341020100911,71.1978319091797,71.2018319498698,-4.518,1.53,6.048,6.01500813075786
2023-07-26 13:22:19.190,3312775,3313227,69.2431561279297,69.2471561686198,71.2108757324219,71.2148757324219,-4.47,1.506,5.976,5.94251369116933
2023-07-26 13:22:19.203,3312777,3313229,69.2518417561849,69.2558418375651,71.2195716959635,71.2235717773438,-4.457,1.518,5.975,5.93985725218373
2023-07-26 13:22:19.212,3312780,3313232,69.2648858642578,69.2688859049479,71.2326158040365,71.2366158447266,-4.483,1.49,5.973,5.935191543573
2023-07-26 13:22:19.221,3312782,3313234,69.2735819091797,69.2775819498698,71.2413118489583,71.2453118896484,-4.468,1.504,5.972,5.93481928313798
2023-07-26 13:22:19.230,3312784,3313236,69.2822779541016,69.2862780354818,71.2500078938802,71.2540079752604,-4.504,1.517,6.021,5.98662992314958
2023-07-26 13:22:19.242,3312786,3313238,69.2909737141927,69.2949737548828,71.2587038574219,71.2627038574219,-4.489,1.57,6.059,6.02658936195499
2023-07-26 13:22:19.251,3312789,3313241,69.3040177815755,69.3080178222656,71.2717477213542,71.2757477620443,-4.569,1.632,6.201,6.16986285996178
2023-07-26 13:22:19.260,3312791,3313243,69.3127138264974,69.3167139078776,71.2804437662761,71.2844438476562,-4.57,1.568,6.138,6.10182397547523
2023-07-26 13:22:19.269,3312793,3313245,69.3214099121094,69.3254099527995,71.289139851888,71.2931398925781,-4.545,1.569,6.114,6.07690829547936
2023-07-26 13:22:19.282,3312795,3313247,69.3301059570313,69.3341059977214,71.2978358968099,71.3018359375,-4.546,1.608,6.154,6.11919908759278
2023-07-26 13:22:19.290,3312798,3313250,69.3431496988932,69.3471497802734,71.3108796386719,71.3148797200521,-4.559,1.618,6.177,6.13683588459923
2023-07-26 13:22:19.300,3312800,3313252,69.3518457845052,69.3558458251953,71.3195757242839,71.323575764974,-4.533,1.655,6.188,6.15330985921717
2023-07-26 13:22:19.312,3312802,3313254,69.3605418294271,69.3645418701172,71.3282717692057,71.3322718098958,-4.532,1.691,6.223,6.19292627542561
2023-07-26 13:22:19.320,3312805,3313257,69.3735859375,69.3775859781901,71.3413158772786,71.3453159179687,-4.558,1.64,6.198,6.16987672439024
2023-07-26 13:22:19.329,3312807,3313259,69.3822819824219,69.386282023112,71.3500119222005,71.3540119628906,-4.571,1.68,6.251,6.21613238358463
2023-07-26 13:22:19.342,3312809,3313261,69.3909777018229,69.394977742513,71.3587077636719,71.3627077636719,-4.545,1.605,6.15,6.11519292810172
2023-07-26 13:22:19.351,3312812,3313264,69.4040218098958,69.4080218505859,71.3717517496745,71.3757517903646,-4.57,1.556,6.126,6.09244262342953
2023-07-26 13:22:19.360,3312814,3313266,69.4127178548177,69.4167178955078,71.380458211263,71.3844582519531,-4.559,1.58,6.139,6.10233252597987
2023-07-26 13:22:19.373,3312816,3313268,69.4214138997396,69.4254139811198,71.3891438395182,71.3931439208984,-4.558,1.581,6.139,6.09864954753157
2023-07-26 13:22:19.381,3312819,3313271,69.4344578857422,69.4384578857422,71.4021879475911,71.4061879882812,-4.542,1.53,6.072,6.03714740396605
2023-07-26 13:22:19.391,3312821,3313273,69.4431537272135,69.4471537679036,71.4108836669922,71.4148837076823,-4.555,1.542,6.097,6.06182472556416
2023-07-26 13:22:19.403,3312823,3313275,69.4518497721354,69.4558498535156,71.4195797119141,71.4235797932943,-4.543,1.593,6.136,6.10281469499652
2023-07-26 13:22:19.412,3312826,3313278,69.4648938802083,69.4688939208984,71.432623819987,71.4366238606771,-4.545,1.629,6.174,6.137772886016
2023-07-26 13:22:19.421,3312828,3313280,69.4735899251302,69.4775899658203,71.4413198649088,71.445319905599,-4.545,1.604,6.149,6.1107369550027
